,Desc_P,Code_P,Desc_E,Code_E,Desc_F,Code_F
15408,Sir Winston Tea Heart of London Aromatyzowana herbata czarna 200 g (100 x 2 g),Herbata,Sir Winston Tea Heart of London Flavored black tea 200 g (100 x 2 g),Tea,Sir Winston Tea Cœur de Londres Thé noir aromatisé 200 g (100 x 2 g),thé
3656,  i   - fasola czerwona konserwowa jednolita ,Warzywa suszone i pozosta?e przetwory warzywne,and - canned red uniform beans,Dried vegetables and other vegetable preserves,et - haricots rouges en conserve uniformes,Légumes secs et autres préparations à base de légumes
7302,Gelsoj - Lody sojowe o smaku waniliowo kakaowym,Lody,Gelsoj - Soy ice cream with vanilla cocoa flavor,Ice cream,Gelsoj - Glace de soja à la vanille cacao,crème glacée
6672,Coca Cola - Napój gazowany o smaku wi?niowym,Napoje orze?wiaj?ce,Coca Cola - Cherry flavored carbonated drink,Refreshing drinks,Coca Cola - Boisson gazéifiée à la cerise,Boissons rafraîchissantes
4311,Ser hochland kr??ek kwartett ,Sery i twarogi,Hochland cheese quartet puck,Cheese and curd,Palet de quartet de fromage de Hochland,Fromage et caillé
8728,Melvit - M?ka ?ytnia do wypieku chleba domowego,M?ka i pozosta?e zbo?a,Melvit - Rye flour for baking homemade bread,Flour and other cereals,Melvit - Farine de seigle pour la cuisson de pain maison,Farine et autres céréales
6385,Bobovita - Deser gruszki i banan po 4 miesi?cu,?ywno?? dla dzieci,Bobovita - Dessert of pears and banana after 4 months,Food for children,Bobovita - Dessert de poires et banane après 4 mois,Nourriture pour les enfants
971,Ekologiczny sok gruszkowy ,Soki owocowe i warzywne,Organic pear juice,Fruit and vegetable juices,Jus de poires bio,Jus de fruits et de légumes
8155,Kotanyi - Chili jalapeno kruszone,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Crushed jalapeno,"Salt, spices and culinary herbs",Kotanyi - Jalapeno broyé,"Sel, épices et herbes culinaires"
13727,Taurus Kie?baski bia?e z szynki bez konserwantów 300 g,W?dliny,Taurus White sausages with ham without preservatives 300 g,meats,Taureau Saucisses blanches au jambon sans conservateur 300 g,viandes
15240,Dilmah Premium Tea Klasyczna czarna herbata 100 g,Herbata,Dilmah Premium Tea Classic black tea 100 g,Tea,Dilmah Premium Tea Thé noir classique 100 g,thé
13328,Morliny Szynka Litewska,W?dliny,Morliny Lithuanian ham,meats,Jambon Morliny Lituanien,viandes
13531,  Kie?basa podwawelska wieprzowa,W?dliny,Pork sausage near Krakow,meats,Saucisse de porc près de Cracovie,viandes
6921,Delecta - Proszek do pieczenia du?a porcja,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Delecta - Baking powder large portion,Other food items not elsewhere classified,Delecta - levure en poudre grande portion,Autres produits alimentaires nca
6931,Delma - Margaryna  extra z mas?em,Margaryna i inne t?uszcze ro?linne,Delma - Margarine extra with butter,Margarine and other vegetable fats,Delma - Margarine extra au beurre,Margarine et autres graisses végétales
9432,Polgrzyb - Podgrzybek krojony,Warzywa suszone i pozosta?e przetwory warzywne,Polgrzyb - Sliced Mushroom,Dried vegetables and other vegetable preserves,Polgrzyb - Champignon Tranché,Légumes secs et autres préparations à base de légumes
11793,Fragata Zielone oliwki drylowane z papryczk? chilli tymiankiem oraz oliw? z oliwek 70 g,Warzywa suszone i pozosta?e przetwory warzywne,"Fragata Green olives, pitted with chillies, thyme and olive oil 70 g",Dried vegetables and other vegetable preserves,"Fragata Olives vertes, dénoyautées avec piments, thym et huile d&#39;olive 70 g",Légumes secs et autres préparations à base de légumes
408,Chrupki bezglutenowe piramidki popcrop ,Pozosta?e wyroby piekarskie,Gluten-free crunchy popcrop pyramids,Other bakery products,Pyramides popcrop croquantes sans gluten,Autres produits de boulangerie
1133,Frytki Mc Cain karbowane ,Ziemniaki,Mc Cain fries,potatoes,Mc Cain frites,pommes de terre
8844,Mlekovita - Wydojone mleko bez laktozy UHT,Mleko ?wie?e pe?ne,Mlekovita - Milk without UHT lactose,Whole milk,Mlekovita - Lait sans lactose UHT,Lait entier frais
7396,Goliard - Makaron rurki,Makarony i produkty makaronowe,Goliard - Pasta tubes,Pasta and pasta products,Goliard - Tubes à pâtes,Pâtes et macaronis
2127,Kopytka Almonte,Ziemniaki,Almonte potato dumplings,potatoes,Boulettes de pommes de terre Almonte,pommes de terre
14931,Danmis Festina Ser sa?atkowy z mleka krowiego 250 g,Sery i twarogi,Danmis Festina Salad with cow&#39;s milk 250 g,Cheese and curd,Danmis Festina Salade au lait de vache 250 g,Fromage et caillé
4434,Ser Serenada Radamer ,Sery i twarogi,Serenada Radamer cheese,Cheese and curd,Serenada Radamer,Fromage et caillé
13265,  Uda z kurczaka ze skór?,Mi?so drobiowe,Chicken thighs with skin,Poultry meat,Cuisses de poulet avec peau,Viande de volaille
12016,Knorr Gor?cy Kubek Smaki ?wiata Wietnamska z imbirem 10 g,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr Hot Mug Tastes of the World Vietnamese with ginger 10 g,Other food items not elsewhere classified,Knorr Hot Mug Saveurs du Monde Vietnamien au gingembre 10 g,Autres produits alimentaires nca
8786,Milka - Czekolada white,Czekolada,Milka - White chocolate,Chocolate,Milka - Chocolat Blanc,chocolat
10340,"Yer-Vita - Herbata  ekspresowa, 25 torebek",Herbata,"Yer-Vita - Express tea, 25 bags",Tea,"Yer-Vita - Thé Express, 25 sachets",thé
6447,Bobovita - porcja zbó? kaszka mleczna kukurydziano-ry?owa ban...,?ywno?? dla dzieci,Bobovita - a portion of cereals porridge corn-rice milk ...,Food for children,Bobovita - une portion de bouillie de céréales au lait de maïs-riz ...,Nourriture pour les enfants
6216,Balviten - Proszek do pieczenia bezglutenowy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Balviten - Gluten-free baking powder,Other food items not elsewhere classified,Balviten - Levure en poudre sans gluten,Autres produits alimentaires nca
16291,"Oshee Napój izotoniczny niegazowany o smaku czerwonej pomara?czy 0,75 l",Napoje orze?wiaj?ce,Oshee Non-carbonated isotonic drink flavored with red orange 0.75 l,Refreshing drinks,"Oshee Boisson isotonique non gazeuse aromatisée à l&#39;orange rouge 0,75 l",Boissons rafraîchissantes
9338,    - Fistaszki pra?one w ?upinie,Owoce suszone i orzechy,#NAME?,Dried fruits and nuts,#NAME?,Fruits secs et noix
7860,"JANEX - Pr?ga wo?owa  bez ko?ci, MAP",Mi?so wo?owe i ciel?ce,"JANEX - Boned beef bone, MAP",Beef and veal meat,"JANEX - Os de boeuf désossé, MAP",Boeuf et veau
2509,Makaron pennette rigate agnesi ,Makarony i produkty makaronowe,Pennette rigate agnesi,Pasta and pasta products,Pennette rigate agnesi,Pâtes et macaronis
8336,LaPedriza - Oliwa z oliwek extra virgin,Oliwa z oliwek,LaPedriza - Extra virgin olive oil,olive oil,LaPedriza - Huile d&#39;olive extra vierge,Huile d&#39;olive
10848,Lubella Corn Flakes Pe?ne ziarno P?atki kukurydziane 500 g,P?atki ?niadaniowe,Lubella Corn Flakes Whole Grain Cornflakes 500 g,Breakfast cereals,Lubella Corn Flakes Flocons de maïs à grains entiers 500 g,Céréales de petit déjeuner
1096,Fix Knorr do Spaghetti bolognese z chili,"Sosy, przyprawy",Fix Knorr for Spaghetti bolognese with chilli,"Sauces, spices",Fix Knorr pour Spaghetti bolognaise au piment,"Sauces, Epices"
4734,Sok leon jab?ko-banan-mango ,Soki owocowe i warzywne,Apple-banana-mango leon juice,Fruit and vegetable juices,Jus de leon pomme-banane-mangue,Jus de fruits et de légumes
5104,?ledzik na raz z suszonymi pomidorami Lisner,Pozosta?e przetwory z ryb i owoców morza,Herring with dried Lisner tomatoes,Other preparations of fish and seafood,Hareng aux tomates Lisner séchées,Autres préparations de poisson et de fruits de mer
7476,Haribo - Smerfy pianki,Wyroby cukiernicze,Haribo - Smurfs marshmallows,Confectionery,Haribo - guimauves Schtroumpfs,Confiserie
9668,Rolnik - Brzoskwinie po?ówki w lekkim syropie,Przetwory owocowe,Farmer - Peach halves in a light syrup,Fruit preserves,Paysan - Pêches coupées en deux dans un sirop léger,Conserves de fruits
16191,Paola Syrop o smaku malinowym 970 ml,Soki owocowe i warzywne,Paola Syrup with raspberry flavor 970 ml,Fruit and vegetable juices,Paola Sirop à la Framboise 970 ml,Jus de fruits et de légumes
4321,Ser hochland ?mietanowy kr??ek ,Sery i twarogi,Creamy hochland cheese disc,Cheese and curd,Un disque de fromage de chouchou crémeux,Fromage et caillé
2572,Margaryna mleczna ,Margaryna i inne t?uszcze ro?linne,Milk margarine,Margarine and other vegetable fats,Margarine de lait,Margarine et autres graisses végétales
13991,Proste Historie Zupa krem z bia?ych warzyw 450 g,Gotowe dania,Simple Stories Soup cream of white vegetables 450 g,Prepared dishes,Soupe à la crème de légumes blancs 450 g,Plats cuisinés
14129,  Italian Style Ham Pizza 320 g,Pizza i inne pó?produkty m?czne,Italian Style Ham Pizza 320 g,Pizza and other flour semi-finished products,Pizza au jambon à l&#39;italienne 320 g,Pizza et autres produits à base de farine
16849,"Pol?dwiczki jagni?ce, rasa Merynos",Mi?so baranie i kozie,"Lamb tenderloin, Merino breed",Sheep and goat meat,"Filet d&#39;agneau, race Mérinos",Viande de mouton et de chèvre
2874,Mleko zag?szczone nies?odzone light z magnezem ,Mleko zag?szczone i w proszku,Light unsweetened condensed milk with magnesium,Powdered and powdered milk,Lait concentré léger non sucré au magnésium,Lait condensé et en poudre
15305,"Vitax Zio?a Herbatka zio?owa mi?ta strong 30 g (20 x 1,5 g)",Herbata,Vitax Herbs Mint herbal tea strong 30 g (20 x 1.5 g),Tea,"Tisane Vitax Herbs Mint forte 30 g (20 x 1,5 g)",thé
80,Babka dro?d?owa  ,Pozosta?e wyroby piekarskie,Brioche,Other bakery products,Gâteau à la levure,Autres produits de boulangerie
4081,Ry? Arborio ,Ry?,Arborio rice,Rice,Riz Arborio,riz
4154,Sa?atka Jak u Mamy ?ledziowa z jajkiem ,Pozosta?e przetwory z ryb i owoców morza,Herring salad with mother&#39;s egg,Other preparations of fish and seafood,Salade de hareng à l&#39;œuf de la mère,Autres préparations de poisson et de fruits de mer
878,"Deser mleczny Monte choco balls,cacao cookies ",Pozosta?e produkty mleczne,"Milk dessert Monte choco balls, cacao cookies",Other dairy products,"Dessert au lait, boules de Monte choco, biscuits au cacao",Autres produits laitiers
12342,Delecta Aromat do ciast rumowy 9 ml,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Delecta Aroma for rum cakes 9 ml,Other food items not elsewhere classified,Delecta Aroma pour gâteaux au rhum 9 ml,Autres produits alimentaires nca
518,Ciasto bezglutenowe kruche w proszku ,Pozosta?e produkty zbo?owe,Gluten-free shortbread powder,Other cereal products,Sablés sans gluten,Autres produits céréaliers
7269,Frosta - Z?ote paluszki rybne z fileta,Pozosta?e przetwory z ryb i owoców morza,Frosta - Gold fish fillet fingers,Other preparations of fish and seafood,Frosta - Doigts de filet de poisson d&#39;or,Autres préparations de poisson et de fruits de mer
9984,Taheebo - Pokrzywa herbatka Bio,Herbata,Taheebo - Organic Nettle tea,Tea,Taheebo - Thé d&#39;ortie biologique,thé
7653,HiPP - Sok maliny i jab?ka,Soki owocowe i warzywne,HiPP - Raspberry and apple juice,Fruit and vegetable juices,HiPP - Jus de framboise et pomme,Jus de fruits et de légumes
8981,Navigator - GKS Tychy Gazowany napój energetyzuj?cy,Napoje orze?wiaj?ce,Navigator - GKS Tychy Carbonated energy drink,Refreshing drinks,Navigator - Boisson énergétique gazeuse GKS Tychy,Boissons rafraîchissantes
9139,Oreo - Double ciastka kakaowe z nadzieniem o smaku wanili...,Pozosta?e wyroby piekarskie,Oreo - Double cocoa cakes with vanilla flavor filling ...,Other bakery products,Oreo - Gâteaux double cacao fourrés à la vanille ...,Autres produits de boulangerie
4409,Ser Pecorino Bucaro ,Sery i twarogi,Pecorino Bucaro cheese,Cheese and curd,Pecorino Bucaro,Fromage et caillé
11108,Prymat Przyprawa do bigosu i da? z kapusty 20 g,"Sól, przyprawy korzenne i zio?a kulinarne",Prymat Spice for stew and cabbage dishes 20 g,"Salt, spices and culinary herbs",Prymat Épice pour plats à l&#39;étouffée et aux choux 20 g,"Sel, épices et herbes culinaires"
14947,Sierpc Ser kasztelan klasyczny 150 g,Sery i twarogi,Sierpc Classic cheese castellan 150 g,Cheese and curd,Sierpc Classic fromage castellan 150 g,Fromage et caillé
7390,Goliard - Makaron 5 jaj nitki domowe,Makarony i produkty makaronowe,Goliard - Pasta 5 eggs home threads,Pasta and pasta products,Goliard - Pâtes 5 oeufs fils maison,Pâtes et macaronis
9859,Solidarno?? - Galaretki w czekoladzie Pectin Jellies,Wyroby cukiernicze,Solidarity - Pectin Jellies Chocolate Jelly,Confectionery,Solidarité - Gelées à la pectine et au chocolat,Confiserie
7231,Firma Roleski - Musztarda sto?owa delikatesowa,"Sosy, przyprawy",Firma Roleski - Gourmet mustard,"Sauces, spices",Firma Roleski - Moutarde Gourmet,"Sauces, Epices"
12552,Milka Mmmax Herbatniki kakaowe i mleczne Oreo 300 g,Pozosta?e wyroby piekarskie,Milka Mmmax Oreo cocoa and milk biscuits 300 g,Other bakery products,Milka Mmmax Biscuits au cacao et au lait Oreo 300 g,Autres produits de boulangerie
16658,Bakalland Migda?y 100 g,Owoce suszone i orzechy,Bakalland Almonds 100 g,Dried fruits and nuts,Bakalland Amandes 100 g,Fruits secs et noix
7243,Foco - Woda kokosowa 100% pure,Napoje orze?wiaj?ce,Foco - Coconut water 100% pure,Refreshing drinks,Foco - Eau de coco 100% pure,Boissons rafraîchissantes
5270,Wafelki ry?owe hipp bio jagodowe ,Pozosta?e wyroby piekarskie,Bio hipp rice blueberry wafers,Other bakery products,Gaufrettes aux bleuets et au riz bio hipp,Autres produits de boulangerie
10409,goccia d'oro - Olej lniany rafinowany,Pozosta?e oleje jadalne,goccia d&#39;oro - Refined linseed oil,Other edible oils,goccia d&#39;oro - Huile de lin raffinée,Autres huiles comestibles
15935,Frugo Czarne Napój wieloowocowy niegazowany 500 ml,Soki owocowe i warzywne,Frugo Black non-carbonated fruit drink 500 ml,Fruit and vegetable juices,Boisson aux fruits non gazeuse Frugo Black 500 ml,Jus de fruits et de légumes
2810,Mleko Bebilon HA2 hipoalergiczne,Mleko zag?szczone i w proszku,Bebilon HA2 milk hypoallergenic,Powdered and powdered milk,Bebilon HA2 lait hypoallergénique,Lait condensé et en poudre
6770,Cytryna - sztuka waga oko?o 160g,Owoce ?wie?e lub ch?odzone,Lemon - piece weight about 160g,Fresh or chilled fruits,Citron - poids de la pièce environ 160g,Fruits frais ou réfrigérés
4678,Sok 100% Hortex pomara?czowy pet ,Soki owocowe i warzywne,100% Hortex Orange Pet Juice,Fruit and vegetable juices,Jus d&#39;orange 100% Hortex pet,Jus de fruits et de légumes
16390,Bu?ka pizzowa 75 g,Pieczywo,Pizza roll 75 g,Bread,Rouleau de pizza 75 g,pain
5669,Antipasti - Oliwki nadziewane serkiem w marynacie zio?owej,Warzywa suszone i pozosta?e przetwory warzywne,Antipasti - Olives stuffed with cheese in herb marinade,Dried vegetables and other vegetable preserves,Antipasti - Olives farcies au fromage dans une marinade aux herbes,Légumes secs et autres préparations à base de légumes
5892,  - Mmm! Listki waflowe pokryte czekolad?,Wyroby cukiernicze,#NAME?,Confectionery,#NAME?,Confiserie
13950,Hortex Dynia kostka 450 g,Warzywa mro?one inne ni? ziemniaki lub pozosta?e warzywa bulwiaste,Hortex Pumpkin cubes 450 g,"Frozen vegetables, other than potatoes or other tuber vegetables",Hortex cubes de citrouille 450 g,Légumes congelés autres que les pommes de terre ou autres tubercules
15386,TET Lord Grey Herbata czarna 200 g (100 torebek),Herbata,TET Lord Gray Black Tea 200 g (100 bags),Tea,TET Lord Grey Thé noir 200 g (100 sachets),thé
8792,Milka - Lody waniliowe z czekolad?,Lody,Milka - Vanilla ice cream with chocolate,Ice cream,Milka - Glace vanille au chocolat,crème glacée
1958,Kie?basa krakowska sucha wieprzowa   i  ,W?dliny,Dry Cracow pork sausage and,meats,Saucisse sèche de porc de Cracovie et,viandes
6774,Czosnek - sztuka g?ówka,Warzywa ?wie?e lub ch?odzone inne ni? ziemniaki lub pozosta?e warzywa bulwiaste,Garlic - head art,"Fresh or chilled vegetables, other than potatoes or other tuber vegetables",Ail - art de la tête,Légumes frais ou réfrigérés autres que les pommes de terre ou autres tubercules
9420,Podravka - Pomidory krojone z bazyli? i oregano,Warzywa suszone i pozosta?e przetwory warzywne,Podravka - Sliced tomatoes with basil and oregano,Dried vegetables and other vegetable preserves,Podravka - Tranches de tomates au basilic et à l&#39;origan,Légumes secs et autres préparations à base de légumes
2506,Makaron penne glutenfree- saluteo ,Makarony i produkty makaronowe,Penne glutenfree saluteo,Pasta and pasta products,Penne sans gluten saluteo,Pâtes et macaronis
7656,HiPP - Wafelki ry?owe jab?kowe,Pozosta?e wyroby piekarskie,HiPP - Apple rice wafers,Other bakery products,HiPP - Gaufrettes de riz aux pommes,Autres produits de boulangerie
12579,San Pajda Biszkopty Lady Fingers 140 g,Pozosta?e wyroby piekarskie,San Pajda Biscuits Lady Fingers 140 g,Other bakery products,Biscuits San Pajda Lady Fingers 140 g,Autres produits de boulangerie
5856,  - Makaron orkiszowy rurka Ekologiczny,Makarony i produkty makaronowe,#NAME?,Pasta and pasta products,- Tube de pâtes à l&#39;épeautre Bio,Pâtes et macaronis
3688,Pizza Guseppe z szynk? ,Pizza i inne pó?produkty m?czne,Guseppe pizza with ham,Pizza and other flour semi-finished products,Pizza Guseppe au jambon,Pizza et autres produits à base de farine
593,Cukierki Nerds arbuz-wi?nia ,Wyroby cukiernicze,Watermelon Cherry Cherry Nerds,Confectionery,Pastèque Cerise Cerise Nerds,Confiserie
4256,Ser Edamski ,Sery i twarogi,Edam,Cheese and curd,Fromage edam,Fromage et caillé
2106,Konfitura M&k brzoskwiniowa,"D?emy, marmolady i miód",M &amp; k peach jam,"Jams, marmalades and honey",Confiture de pêche M &amp; k,"Confitures, marmelades et miel"
16836,  Jab?ka suszone w plastrach 100 g,Owoce suszone i orzechy,Dried apples sliced 100 g,Dried fruits and nuts,Pommes séchées coupées en tranches 100 g,Fruits secs et noix
2371,?oso? filet ze skór? trybowany ,Ryby ?wie?e lub ch?odzone,Salmon fillet with skin boned,Fresh or chilled fish,Filet de saumon à la peau désossée,Poisson frais ou réfrigéré
3223,Ogórki Rolnik wyborowe konserwowe,Warzywa suszone i pozosta?e przetwory warzywne,Pickled cucumbers,Dried vegetables and other vegetable preserves,Concombres marinés,Légumes secs et autres préparations à base de légumes
13300,  Grill Zestaw z kurczaka w przyprawie marengo,Pozosta?e przetwory mi?sne,Grill. A set of chicken with marengo spice,Other meat preparations,Grill. Un ensemble de poulet aux épices Marengo,Autres préparations de viande
1763,Kawa Dallmayr Crema D'oro Intensa ,Kawa,Dallmayr Crema D&#39;oro Intensa coffee,Coffee,Dallmayr Crema D&#39;oro Intensa coffee,café
3005,Napój gazowany Schweppes orange ,Napoje orze?wiaj?ce,Schweppes orange carbonated drink,Refreshing drinks,Boisson gazeuse à l&#39;orange Schweppes,Boissons rafraîchissantes
6383,Bobovita - Deser brzoskwinie jab?ka i kiwi po 6 miesi?cu,?ywno?? dla dzieci,Bobovita - Dessert of apple and kiwi peaches after 6 months,Food for children,Bobovita - Dessert de pêches à la pomme et au kiwi après 6 mois,Nourriture pour les enfants
16391,Bu?ka rustico ziemniaczana 70 g,Pieczywo,Potato rustico roll 70 g,Bread,Rouleau de pommes de terre rustico 70 g,pain
13082,Rafapol Precelki Krakowskie z makiem 250 g,Pozosta?e wyroby piekarskie,Rafapol Krakow Pretzels with poppy seeds 250 g,Other bakery products,Bretzels de Cracovie Rafapol aux graines de pavot 250 g,Autres produits de boulangerie
15944,  Sok 100% jab?kowy 200 ml,Soki owocowe i warzywne,100% apple juice 200 ml,Fruit and vegetable juices,Jus de pomme 100% 200 ml,Jus de fruits et de légumes
3137,Nektar Hortex Multiwitamina pet ,Soki owocowe i warzywne,Nektar Hortex Multivitamin pet,Fruit and vegetable juices,Nektar Hortex multivitamine animal de compagnie,Jus de fruits et de légumes
14799,Mlekovita Gouda z pieprzem Ser w plastrach 150 g,Sery i twarogi,Mlekovita Gouda with pepper Cheese sliced 150 g,Cheese and curd,Mlekovita Gouda au poivre Fromage en tranches 150 g,Fromage et caillé
5244,Wafel princessa maxi kokosowa bia?a,Pozosta?e wyroby piekarskie,Wafer princessa maxi coconut white,Other bakery products,Gaufrette princessa maxi coco blanche,Autres produits de boulangerie
16887,Giczki ciel?ce z ko?ci?,Mi?so wo?owe i ciel?ce,Veal shanks with bone,Beef and veal meat,Jarrets de veau avec os,Boeuf et veau
12700,dr Gerard Malti Keks Herbatniki w czekoladzie mlecznej 320 g,Pozosta?e wyroby piekarskie,dr Gerard Malti Keks Biscuits in milk chocolate 320 g,Other bakery products,dr Gerard Malti Keks Biscuits au chocolat au lait 320 g,Autres produits de boulangerie
10194,Virtu - Krokiety z kapust? i grzybami,Gotowe dania,Virtu - Croquettes with cabbage and mushrooms,Prepared dishes,Virtu - Croquettes au chou et aux champignons,Plats cuisinés
2260,Lody Carte d'Or kawowe z sosem czekoladowym ,Lody,Carte d&#39;Or coffee ice cream with chocolate sauce,Ice cream,Glace au café Carte d&#39;Or avec sauce au chocolat,crème glacée
11689,GRAAL Sa?atka z makrel? pikantna 130 g,Pozosta?e przetwory z ryb i owoców morza,GRAAL Salad with spicy mackerel 130 g,Other preparations of fish and seafood,GRAAL Salade au maquereau épicé 130 g,Autres préparations de poisson et de fruits de mer
7664,Hit - Herbatniki markizy o smaku kakaowym,Pozosta?e wyroby piekarskie,Hit - Biscuit awnings with cocoa flavor,Other bakery products,Hit - Auvent biscuit à la saveur de cacao,Autres produits de boulangerie
2588,Mas?o ekologiczne r?cznie formowane ,Mas?o,Hand-formed organic butter,Butter,Beurre biologique formé à la main,beurre
12960,Mieszko Choco Amore Praliny 310 g,Wyroby cukiernicze,Mieszko Choco Amore Praline 310 g,Confectionery,Praliné au chocolat mieszko amore 310 g,Confiserie
1785,Kawa Jacobs cronat gold rozpuszczalna ,Kawa,Jacobs cronat gold soluble coffee,Coffee,Café soluble Jacobs Cronat Gold,café
10693,Uncle Ben's Ry? ze sma?onym jajkiem 250 g,Ry?,Uncle Ben&#39;s Rice with fried egg 250 g,Rice,Uncle Ben&#39;s Riz à l&#39;œuf au plat 250 g,riz
9992,Taheeboo - Kapusta kiszona ekologiczna,Warzywa suszone i pozosta?e przetwory warzywne,Taheeboo - Organic sauerkraut,Dried vegetables and other vegetable preserves,Taheeboo - Choucroute Bio,Légumes secs et autres préparations à base de légumes
12997,E. Wedel Mieszanka Wedlowska Cukierki w czekoladzie mlecznej 356 g,Wyroby cukiernicze,E. Wedel Mix Wedlowska Sweets in milk chocolate 356 g,Confectionery,E. Wedel Mix Wedlowska Bonbons au chocolat au lait 356 g,Confiserie
5443,Zupa Knorr ogórkowa,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Cucumber Knorr Soup,Other food items not elsewhere classified,Soupe au concombre Knorr,Autres produits alimentaires nca
15982,Gucio Sok z marchwi malin jab?ek wzbogacony witamin? C 330 ml,Soki owocowe i warzywne,Gucio Carrot apple raspberry juice enriched with vitamin C 330 ml,Fruit and vegetable juices,Jus de pomme framboise Gucio Carotte enrichi en vitamine C 330 ml,Jus de fruits et de légumes
9860,Solidarno?? - Krówka mleczna,Wyroby cukiernicze,Solidarity - Milk fudge,Confectionery,Solidarité - Fudge au lait,Confiserie
539,"Cisowianka Perlage Naturalna woda mineralna musuj?ca niskosodowa 0,3 l ",Wody mineralne lub ?ródlane,Cisowianka Perlage Natural sparkling low-sodium mineral water 0.3 l,Mineral or spring waters,"Cisowianka Perlage Eau minérale naturelle pétillante faible en sodium 0,3 l",Eaux minérales ou sources
