,Desc_P,Code_P,Desc_E,Code_E,Desc_F,Code_F
7095,Drobimex - Szynka delikatesowa z kurcz?t bez glutenu,W?dliny,Drobimex - Gluten-free deli chicken ham,meats,Drobimex - Jambon de poulet deli sans gluten,viandes
6397,Bobovita - Jarzynki z ciel?cin? i kluseczkami po 8 miesi?cu,?ywno?? dla dzieci,Bobovita - Vegetables with veal and dumplings after 8 months,Food for children,Bobovita - Légumes au veau et aux boulettes après 8 mois,Nourriture pour les enfants
4836,Sos hot dog develey. ,"Sosy, przyprawy",Develey hot dog sauce.,"Sauces, spices",Develey sauce à hot-dog.,"Sauces, Epices"
2128,Kopytka luz kuchnia polki ,Ziemniaki,Potato dumplings loose polka,potatoes,Boulettes de pomme de terre en vrac polka,pommes de terre
3237,Olej kokosowy ,Pozosta?e oleje jadalne,Coconut oil,Other edible oils,Huile de noix de coco,Autres huiles comestibles
10346,ZMB - Bekon z w?dzarni plastry,W?dliny,ZMB - Bacon from smokehouse slices,meats,ZMB - Bacon de tranches de fumoir,viandes
7650,"HiPP - Obiadek ziemniaki, kurczak i pomidory",?ywno?? dla dzieci,"HiPP - Dinner potatoes, chicken and tomatoes",Food for children,"HiPP - Pommes de terre, poulet et tomates",Nourriture pour les enfants
11334,Barilla Zucchine Sos pomidorowy z warzywami i grilowanymi warzywami 400 g,"Sosy, przyprawy",Barilla Zucchine Tomato sauce with vegetables and grilled vegetables 400 g,"Sauces, spices",Barilla Zucchine Sauce tomate avec légumes et légumes grillés 400 g,"Sauces, Epices"
10610,Lubella Pe?ne Ziarno Tagliatelle Makaron Gniazda wst??ki 400 g,Makarony i produkty makaronowe,Lubella Whole Grain Tagliatelle Pasta Ribbon nests 400 g,Pasta and pasta products,Tagliatelle aux grains entiers Lubella nid de ruban de pâtes 400 g,Pâtes et macaronis
1805,Kawa mielona Pluton gold ,Kawa,Ground coffee Pluton gold,Coffee,Café moulu Pluton doré,café
7238,Flora - Margaryna ProActiv,Margaryna i inne t?uszcze ro?linne,Flora - Margarine ProActiv,Margarine and other vegetable fats,Flore - Margarine ProActiv,Margarine et autres graisses végétales
16140,Mountain Dew Napój gazowany 500 ml,Napoje orze?wiaj?ce,Mountain Dew 500 ml carbonated drink,Refreshing drinks,Mountain Dew 500 ml boisson gazeuse,Boissons rafraîchissantes
5839,  - Ksylitol,Cukier,#NAME?,Sugar,#NAME?,sucre
12573,Milka XL Cookies Choco Ciastka z kawa?kami czekolady mlecznej 184 g,Pozosta?e wyroby piekarskie,Milka XL Cookies Choco Cookies with pieces of milk chocolate 184 g,Other bakery products,Milka XL Cookies Choco Cookies avec des morceaux de chocolat au lait 184 g,Autres produits de boulangerie
1107,Fix Winiar Spaghetti ,"Sosy, przyprawy",Fix Winiar Spaghetti,"Sauces, spices",Fix Winiar Spaghetti,"Sauces, Epices"
12876,Orbit For Kids Strawberry Guma do ?ucia bez cukru 27 g (14 pasków),Wyroby cukiernicze,Orbit For Kids Strawberry Chewing gum without sugar 27 g (14 strips),Confectionery,Chewing-gum à la fraise sans sucre Orbit For Kids 27 g (14 tranches),Confiserie
10507,"?ywio? - Woda ?ródlana gazowana, 8 x 0,5 L",Wody mineralne lub ?ródlane,"Element - Sparkling spring water, 8 x 0.5 L",Mineral or spring waters,"Element - Eau de source pétillante, 8 x 0,5 L",Eaux minérales ou sources
992,Fasola czerwona ,Warzywa suszone i pozosta?e przetwory warzywne,Red beans,Dried vegetables and other vegetable preserves,Haricots rouges,Légumes secs et autres préparations à base de légumes
2007,Kie?baski sojowe w?dzone,Gotowe dania,Smoked soy sausages,Prepared dishes,Saucisses de soja fumées,Plats cuisinés
13412,Balcerzak Kie?basa polska surowa dojrzewaj?ca 230 g,W?dliny,Balcerzak Polish raw maturing sausage 230 g,meats,Saucisse crue crue polonaise Balcerzak 230 g,viandes
8456,Lipton - Napój Ice Tea Green Tea,Napoje orze?wiaj?ce,Lipton - Ice Tea Green Tea,Refreshing drinks,Lipton - Thé Vert Glacé Thé Vert,Boissons rafraîchissantes
3673,  i   olej dyniowy ,Pozosta?e oleje jadalne,and pumpkin oil,Other edible oils,et huile de citrouille,Autres huiles comestibles
17027,Dorsz atlantycki filet z/s (200g-300g),Ryby ?wie?e lub ch?odzone,Atlantic cod fillet z / s (200g-300g),Fresh or chilled fish,Filet de morue de l&#39;Atlantique z / s (200g-300g),Poisson frais ou réfrigéré
8450,Lipton - Herbata zielona aromatyzowana o smaku mi?ty,Herbata,Lipton - flavored green tea with a mint flavor,Tea,Lipton - thé vert aromatisé à la menthe,thé
13764,  Filety ?ledziowe a'la Matjas 800 g,Pozosta?e przetwory z ryb i owoców morza,Herring fillets a&#39;la Matjas 800 g,Other preparations of fish and seafood,Filets de hareng a&#39;la Matjas 800 g,Autres préparations de poisson et de fruits de mer
16166,Fanta Malinna Napój gazowany 500 ml,Napoje orze?wiaj?ce,Fanta Raspberry Soda 500 ml,Refreshing drinks,Soda aux framboises Fanta 500 ml,Boissons rafraîchissantes
3351,Oregano ,"Sól, przyprawy korzenne i zio?a kulinarne",Oregano,"Salt, spices and culinary herbs",origan,"Sel, épices et herbes culinaires"
16790,Bakalland Rodzynki su?ta?skie 100 g,Owoce suszone i orzechy,Bakalland Sultan Raisins 100 g,Dried fruits and nuts,Bakalland Sultan Raisins secs 100 g,Fruits secs et noix
9376,    - Orzechy ziemne w karmelu,Owoce suszone i orzechy,#NAME?,Dried fruits and nuts,#NAME?,Fruits secs et noix
2211,Lasagne Cannelloni ze szpinakiem Frosta,Makarony i produkty makaronowe,Cannelloni lasagne with Frosta spinach,Pasta and pasta products,Lasagnes cannellonis aux épinards Frosta,Pâtes et macaronis
8798,Milkeffekt - Ser janosika,Sery i twarogi,Milkeffekt - Janosika cheese,Cheese and curd,Fromage Milkeffekt - Janosika,Fromage et caillé
6461,Bogutti - Owocowy raj kruche ciasteczka z nadzieniem wi?niow...,Pozosta?e wyroby piekarskie,Bogutti - Fruit paradise shortbread cookies with cherry filling ...,Other bakery products,Bogutti - Sablés paradis aux fruits fourrés à la cerise ...,Autres produits de boulangerie
3786,Pomidory Melissa Primo Gusto krojone ,Warzywa suszone i pozosta?e przetwory warzywne,Melissa Primo Gusto tomatoes cut,Dried vegetables and other vegetable preserves,Melissa Primo Gusto tomates coupées,Légumes secs et autres préparations à base de légumes
6223,Barilla - Makaron ?widerki fusilli,Makarony i produkty makaronowe,Barilla - Fusilli pasta noodles,Pasta and pasta products,Barilla - Nouilles Fusilli,Pâtes et macaronis
9815,Sierpc - Markiz ser ?ó?ty plastry,Sery i twarogi,Sierpc - Marquis cheese yellow slices,Cheese and curd,Sierpc - Tranches de fromage marquis jaune,Fromage et caillé
5914,  - Mój Targ Ryb ?upacz filet bez skóry,Ryby ?wie?e lub ch?odzone,#NAME?,Fresh or chilled fish,- Filet d&#39;aiglefin My Fish Market sans peau,Poisson frais ou réfrigéré
2923,Musztarda Kamis Sarepska,"Sosy, przyprawy",Mustard Kamis Sarepska,"Sauces, spices",Moutarde Kamis Sarepska,"Sauces, Epices"
14935,NaTurek Nasz Brie lekki 125 g,Sery i twarogi,NaTurek Nasz Brie light 125 g,Cheese and curd,NaTurek Nasz Brie léger 125 g,Fromage et caillé
10052,Thirion - Spatzle - Makaron jajeczny,Makarony i produkty makaronowe,Thirion - Spatzle - Egg noodles,Pasta and pasta products,Thirion - Spatzle - Nouilles aux oeufs,Pâtes et macaronis
10874,Szczytno Premium J?czmienne p?atki b?yskawiczne 400 g,P?atki ?niadaniowe,Szczytno Premium Barley instant flakes 400 g,Breakfast cereals,Szczytno Premium Orley instantané flocons 400 g,Céréales de petit déjeuner
3939,Przyprawa Kotanyi kardamon ca?y ,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi spice whole cardamom,"Salt, spices and culinary herbs",Kotanyi épice cardamome entière,"Sel, épices et herbes culinaires"
2754,Miód Le?ny Dwór le?ny,"D?emy, marmolady i miód",Honey Forest Forest manor,"Jams, marmalades and honey",Honey Forest Manor à la forêt,"Confitures, marmelades et miel"
9709,Sammi - Napój z sokiem i du?ymi kawa?kami Granatu,Napoje orze?wiaj?ce,Sammi - A drink with juice and large pieces of Pomegranate,Refreshing drinks,Sammi - Une boisson avec du jus et de gros morceaux de grenade,Boissons rafraîchissantes
5238,Vegebond donkiszon - ogórek kiszony polska 70g ,Warzywa suszone i pozosta?e przetwory warzywne,Quixote Vegebond - Polish pickled cucumber 70g,Dried vegetables and other vegetable preserves,Quixote Vegebond - Concombre mariné polonais 70g,Légumes secs et autres préparations à base de légumes
8102,Knorr - Sos fix spaghetti bolognese,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Fix spaghetti bolognese sauce,Other food items not elsewhere classified,Knorr - Sauce spaghetti à la sauce bolognaise,Autres produits alimentaires nca
8374,Lay's - z Pieca Pieczone chipsy ziemniaczane solone 200 g,Chipsy,Lay&#39;s - from the oven Baked salted potato chips 200 g,Chips,Lay&#39;s - du four Croustilles salées au four 200 g,chips
1273,Herbata Ahmad Tea English Breakfast ,Herbata,Ahmad Tea English Breakfast,Tea,Petit déjeuner anglais Ahmad Tea,thé
7048,Dr. Oetker - Neon mix dekoracyjny,Wyroby cukiernicze,Dr. Oetker - Neon decorative mix,Confectionery,Dr. Oetker - Mélange décoratif Neon,Confiserie
10580,Gda?skie M?yny Chleb baltonowski Mieszanka do wypieku chleba mieszanego 1 kg,M?ka i pozosta?e zbo?a,Gda?skie M?yny Baltonowski bread Mix for baking mixed bread 1 kg,Flour and other cereals,Gda?skie M?yny Baltonowski mélange pour la cuisson du pain mélangé 1 kg,Farine et autres céréales
14073,FRoSTA Mintaj w cie?cie 210 g (2 sztuki),Pozosta?e przetwory z ryb i owoców morza,FRoSTA Mintaj in dough 210 g (2 pieces),Other preparations of fish and seafood,FRoSTA Mintaj en pâte 210 g (2 pièces),Autres préparations de poisson et de fruits de mer
10303,Winiary - Rosó? z makaronem,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Winiary - Chicken soup with noodles,Other food items not elsewhere classified,Winiary - Soupe de poulet aux nouilles,Autres produits alimentaires nca
13668,Morliny Boczek w?dzony parzony 150 g,W?dliny,Morliny smoked bacon steamed 150 g,meats,Lard fumé à la vapeur de Morliny 150 g,viandes
12165,E. Wedel Krem wedlowski czekoladowy 350 g,Czekolada,E. Wedel Wedel chocolate cream 350 g,Chocolate,E. Wedel Wedel crème au chocolat 350 g,chocolat
1690,Karmelki Malinki Brando Goplana ,Wyroby cukiernicze,Brando Goplana Raspberry Caramels,Confectionery,Caramels à la framboise Brando Goplana,Confiserie
15124,Rama Sma? jak szef kuchni klasyczna Z mixem olejów 500 ml,Margaryna i inne t?uszcze ro?linne,Frame Fry like a chef classic With a 500 ml oil mix,Margarine and other vegetable fats,Cadre Fry comme un chef classique Avec un mélange d&#39;huile de 500 ml,Margarine et autres graisses végétales
4966,Surówka   i   Firmowa z czerwonej kapusty z jab?kiem ,Warzywa suszone i pozosta?e przetwory warzywne,Vegetable and firm salad with red cabbage and apple,Dried vegetables and other vegetable preserves,Salade de légumes et ferme au chou rouge et pomme,Légumes secs et autres préparations à base de légumes
5476,Zupa Winiary barszcz bia?y,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Winiary soup white borscht,Other food items not elsewhere classified,Soupe Winiary Bortsch Blanc,Autres produits alimentaires nca
15803,Victoria Cymes Smaki Victorii Naturalnie m?tny sok z jab?ek i malin 250 ml,Soki owocowe i warzywne,Victoria Cymes Victoria flavors Naturally cloudy apple and raspberry juice 250 ml,Fruit and vegetable juices,Victoria Cymes Victoria flavors Jus de pomme et de framboise naturellement nuageux 250 ml,Jus de fruits et de légumes
14027,Fresh Zupa kalafiorowa 450 g,Gotowe dania,Fresh Cauliflower Soup 450 g,Prepared dishes,Soupe fraîche au chou-fleur 450 g,Plats cuisinés
10378,Zott - Napój mleczny Monte drink z czekolad? i orzechami ...,Pozosta?e produkty mleczne,Zott - Monte drink milk drink with chocolate and nuts ...,Other dairy products,Zott - Monte drink boisson au lait au chocolat et aux noix ...,Autres produits laitiers
8697,Melissa Primo Gusto - Makaron ?widerki fusilli,Makarony i produkty makaronowe,Melissa Primo Gusto - Fusilli pasta noodles,Pasta and pasta products,Melissa Primo Gusto - Nouilles Fusilli,Pâtes et macaronis
16208,Monzini Blue Curacao Syrop barma?ski 320 ml,Soki owocowe i warzywne,Monzini Blue Curacao Bartender syrup 320 ml,Fruit and vegetable juices,Sirop Barman Curaçao Bleu Monzini 320 ml,Jus de fruits et de légumes
13109,Monster Munch Original Chrupki ziemniaczane solone 50 g,Pozosta?e wyroby piekarskie,Monster Munch Original Salted potato crisps 50 g,Other bakery products,Monster Munch Original Chips de pommes de terre salées 50 g,Autres produits de boulangerie
7808,Iglotex - Zupa krem z bia?ych warzyw,Warzywa mro?one inne ni? ziemniaki lub pozosta?e warzywa bulwiaste,Iglotex - Cream of white vegetables soup,"Frozen vegetables, other than potatoes or other tuber vegetables",Iglotex - Velouté de légumes blancs,Légumes congelés autres que les pommes de terre ou autres tubercules
180,Batonik z twaro?ku w czekoladzie z wi?niami i bananem ,Sery i twarogi,Cottage cheese bar in chocolate with cherries and banana,Cheese and curd,Fromage cottage en chocolat avec cerises et bananes,Fromage et caillé
7716,Hortex - Napój truskawkowy z nut? mi?ty ogrodowej,Soki owocowe i warzywne,Hortex - Strawberry drink with a hint of garden mint,Fruit and vegetable juices,Hortex - boisson à la fraise avec un soupçon de menthe de jardin,Jus de fruits et de légumes
13853,SuperFish ?oso? bez skóry w zalewie warzywnej 300 g,Pozosta?e przetwory z ryb i owoców morza,SuperFish Skinless salmon in vegetable marinade 300 g,Other preparations of fish and seafood,SuperFish Saumon sans peau dans une marinade de légumes 300 g,Autres préparations de poisson et de fruits de mer
15140,Goat Farm Mas?o kozie 125 g,Mas?o,Goat Farm Goat Butter 125 g,Butter,Goat Farm Beurre de chèvre 125 g,beurre
1269,Herbata Adalbert’s Soursop Green Tea li?ciasta ,Herbata,Adalbert&#39;s Soursop Green Tea,Tea,Thé vert de corossol d&#39;Adalbert,thé
8985,Na??czowianka - Naturalna woda mineralna delikatnie gazowana,Wody mineralne lub ?ródlane,Na??czowianka - Natural mineral water gently sparkling,Mineral or spring waters,Na??czowianka - Eau minérale naturelle pétillante,Eaux minérales ou sources
5758,  - D?em malina 100% owoców,"D?emy, marmolady i miód",- Raspberry jam 100% fruit,"Jams, marmalades and honey",- Confiture de framboises 100% fruits,"Confitures, marmelades et miel"
11969,Knorr Rosó? wo?owy 120 g (12 kostek),"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr Beef broth 120 g (12 cubes),Other food items not elsewhere classified,Bouillon de bœuf Knorr 120 g (12 cubes),Autres produits alimentaires nca
13218,Noga z kaczki,Mi?so drobiowe,Duck leg,Poultry meat,Cuisse de canard,Viande de volaille
11660,Giana Hiszpa?skie oliwki czarne bez pestki w s?onej zalewie 195 g,Warzywa suszone i pozosta?e przetwory warzywne,Giana Spanish black olives without stones in a salty pickle 195 g,Dried vegetables and other vegetable preserves,Giana Olives noires espagnoles sans noyaux dans un cornichon salé 195 g,Légumes secs et autres préparations à base de légumes
12149,?owicz Konfitura extra z czarnej porzeczki niskos?odzona 240 g,"D?emy, marmolady i miód",?owicz Low-sugar blackcurrant jam 240 g,"Jams, marmalades and honey",?owicz Confiture de cassis à faible teneur en sucre 240 g,"Confitures, marmelades et miel"
14272,  Finest Ciasto ma?lane z bit? ?mietan? i truskawkami 537 g,Lody,Finest Butter cake with whipped cream and strawberries 537 g,Ice cream,Finest cake au beurre avec crème fouettée et fraises 537 g,crème glacée
10999,  Oregano otarte 10 g,"Sól, przyprawy korzenne i zio?a kulinarne","Oregano, grated 10 g","Salt, spices and culinary herbs","Origan, râpé 10 g","Sel, épices et herbes culinaires"
8835,Mlekovita - Ser Kaszkawa? W?dzony,Sery i twarogi,Mlekovita - Smoked Dwarf Cheese,Cheese and curd,Mlekovita - Fromage Nain Fumé,Fromage et caillé
5247,Wafel Teatralny czekoladowy ,Pozosta?e wyroby piekarskie,Theatrical chocolate waffle,Other bakery products,Gaufre au chocolat théâtrale,Autres produits de boulangerie
15922,Hortex Sok 100% jab?ko 300 ml,Soki owocowe i warzywne,Hortex Juice 100% apple 300 ml,Fruit and vegetable juices,Jus Hortex 100% pomme 300 ml,Jus de fruits et de légumes
16837,  Mieszanka ?urawiny kandyzowanej suszonej migda?ów i orzechów nerkowca 100 g,Owoce suszone i orzechy,Mixture of candied cranberry dried almonds and cashews 100 g,Dried fruits and nuts,"Mélange de canneberges confites, amandes séchées et noix de cajou 100 g",Fruits secs et noix
