,Desc_P,Code_P,Desc_E,Code_E,Desc_F,Code_F
7372,Giancarlo Polenghi - Sok z cytryny,Soki owocowe i warzywne,Giancarlo Polenghi - Lemon juice,Fruit and vegetable juices,Giancarlo Polenghi - Jus de citron,Jus de fruits et de légumes
6501,Box - Paluszki ptysiowe z cukrem,Pozosta?e wyroby piekarskie,Box - Puff sticks with sugar,Other bakery products,Box - Puff sticks avec du sucre,Autres produits de boulangerie
6608,Cenos - Ry? naturalny br?zowy pe?noziarnisty 4x100g,Ry?,Cenos - Natural brown whole grain rice 4x100g,Rice,Cenos - Riz brun complet à grains entiers 4x100g,riz
11213,Kotányi Pieprz kolorowy ziarnisty 16 g,"Sól, przyprawy korzenne i zio?a kulinarne",Kotányi Colored granular pepper 16 g,"Salt, spices and culinary herbs",Kotányi Piment granulé coloré 16 g,"Sel, épices et herbes culinaires"
15667,Café Blend Cappuccino napój kawowy instant o smaku czekoladowym 100 g,Kawa,Café Blend Cappuccino instant coffee drink with chocolate flavor 100 g,Coffee,Café Blend Café instantané Cappuccino au goût de chocolat 100 g,café
2616,Mas?o Polskie Extra ,Mas?o,Polish Butter Extra,Butter,Beurre Polonais Extra,beurre
16626,  Natka pietruszki,Warzywa ?wie?e lub ch?odzone inne ni? ziemniaki lub pozosta?e warzywa bulwiaste,Parsley,"Fresh or chilled vegetables, other than potatoes or other tuber vegetables",Feuille de persil,Légumes frais ou réfrigérés autres que les pommes de terre ou autres tubercules
7229,Firma Roleski - Musztarda sarepska,"Sosy, przyprawy",Roleski company - Sarepska mustard,"Sauces, spices",Société Roleski - Moutarde Sarepska,"Sauces, Epices"
16241,"Oshee Napój izotoniczny niegazowany o smaku grejpfrutowym 0,75 l",Napoje orze?wiaj?ce,Oshee Non-carbonated isotonic drink with grapefruit flavor 0.75 l,Refreshing drinks,"Oshee Boisson isotonique non gazeuse à l&#39;arôme de pamplemousse 0,75 l",Boissons rafraîchissantes
9855,Soko?ów - Szynka Sarmacka gold,W?dliny,Soko?ów - Sarmacka ham gold,meats,Soko?ów - Jambon Sarmacka doré,viandes
12185,S?decki Bartnik Miód wielokwiatowy 6 x 15 g,"D?emy, marmolady i miód",S?decki Bartnik Multi-flower honey 6 x 15 g,"Jams, marmalades and honey",S?decki Bartnik miel multi-fleurs 6 x 15 g,"Confitures, marmelades et miel"
564,Cukier trzcinowy   i  ,Cukier,Cane sugar and,Sugar,Sucre de canne et,sucre
16902,Tapioka (skrobia z manioku) BIO (surowiec),Pozosta?e produkty zbo?owe,Tapioca (cassava starch) BIO (raw material),Other cereal products,Tapioca (amidon de manioc) BIO (matière première),Autres produits céréaliers
16315,  Chleb na miodzie ze ?liwk? 250 g,Pieczywo,Bread with honey and plum 250 g,Bread,Pain au miel et à la prune 250 g,pain
4809,Sos bolognese z czerwonym winem Jamie Oliver ,"Sosy, przyprawy",Jamie Oliver bolognese sauce with red wine,"Sauces, spices",Sauce bolognaise Jamie Oliver au vin rouge,"Sauces, Epices"
7446,Grycan - Lody Familijne bakaliowe,Lody,Grycan - Family nuts and dried fruit,Ice cream,Grycan - Noix de famille et fruits secs,crème glacée
12192,Stovit Konfitura z wi?ni 250 g,"D?emy, marmolady i miód",Stovit Cherry Jam 250 g,"Jams, marmalades and honey",Stovit Confiture De Cerises 250 g,"Confitures, marmelades et miel"
12049,  Makaron z sosem gulaszowym Danie instant 55 g,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Pasta with goulash sauce. Instant dish 55 g,Other food items not elsewhere classified,Pâtes à la sauce goulache Plat instantané 55 g,Autres produits alimentaires nca
4144,Sa?atka broku?owa Kuchnia Polki ,Warzywa suszone i pozosta?e przetwory warzywne,Broccoli salad Polish cuisine,Dried vegetables and other vegetable preserves,Salade de brocoli cuisine polonaise,Légumes secs et autres préparations à base de légumes
11630,Bonduelle Bonduelki Groszek ekstradrobny 160 g,Warzywa suszone i pozosta?e przetwory warzywne,Bonduelle Bonduelki Extra-fine peas 160 g,Dried vegetables and other vegetable preserves,Bonduelle Bonduelki Pois extra-fins 160 g,Légumes secs et autres préparations à base de légumes
10119,U J?drusia - Kluski ?l?skie,Ziemniaki,At J?drusia - Silesian dumplings,potatoes,À J?drusia - Boulettes de Silésie,pommes de terre
13737,?oso? norweski filet ze skór? extra,Ryby ?wie?e lub ch?odzone,Norwegian salmon fillet with skin extra,Fresh or chilled fish,Filet de saumon norvégien avec peau extra,Poisson frais ou réfrigéré
16676,Bakalland Migda?y 250 g,Owoce suszone i orzechy,Bakalland Almonds 250 g,Dried fruits and nuts,Bakalland Amandes 250 g,Fruits secs et noix
4217,Ser bacowski ,Sery i twarogi,Bacowski cheese,Cheese and curd,Fromage Bacowski,Fromage et caillé
12745,Wadowice Skawa Elitesse De Luxe Wafelek przek?adany kremem kakaowym w czekoladzie 20 g,Pozosta?e wyroby piekarskie,Wadowice Skawa Elitesse De Luxe Wafer layered with cocoa cream in chocolate 20 g,Other bakery products,Wadowice Skawa Elitesse De Luxe Wafer nappé de crème de cacao au chocolat 20 g,Autres produits de boulangerie
3571,Pieczywo jaglane w czekoladzie deserowej ,Pozosta?e wyroby piekarskie,Millet bread in dark chocolate,Other bakery products,Millet au chocolat noir,Autres produits de boulangerie
6757,Cukinia - sztuka waga oko?o 400g,Warzywa ?wie?e lub ch?odzone inne ni? ziemniaki lub pozosta?e warzywa bulwiaste,Zucchini - piece weight about 400g,"Fresh or chilled vegetables, other than potatoes or other tuber vegetables",Courgette - poids de la pièce environ 400g,Légumes frais ou réfrigérés autres que les pommes de terre ou autres tubercules
2498,Makaron na patelni? z sosem bolognese Hortex,Makarony i produkty makaronowe,Pasta in a frying pan with Hortex bolognese sauce,Pasta and pasta products,Pâtes à la poêle avec sauce bolognaise Hortex,Pâtes et macaronis
14506,Milko Jogurt stracciatella 330 ml,Jogurt,Milko Yogurt Stracciatella 330 ml,Yoghurt,Stracciatella au yogourt Milko 330 ml,yaourt
12558,dr Gerard PryncyPa?ki classic Wafelki o smaku kakaowym w czekoladzie 235 g,Pozosta?e wyroby piekarskie,dr Gerard Pryncy Classic sticks Cocoa flavor wafers with chocolate 235 g,Other bakery products,dr Gerard Pryncy Classic sticks Gaufrettes au chocolat et au cacao 235 g,Autres produits de boulangerie
7759,House of Asia - Imbir do sushi,Warzywa suszone i pozosta?e przetwory warzywne,House of Asia - Ginger for sushi,Dried vegetables and other vegetable preserves,House of Asia - Gingembre pour sushi,Légumes secs et autres préparations à base de légumes
13734,SuperFish ?oso? w?dzony 120 g,"Ryby i owoce morza suszone, w?dzone lub solone",SuperFish Smoked Salmon 120 g,"Dried, smoked or salted seafood and fish",Saumon fumé SuperFish 120 g,"Poisson et fruits de mer séchés, fumés ou salés"
7316,Gerber - Deser suszone ?liwki,?ywno?? dla dzieci,Gerber - Dessert of dried plums,Food for children,Gerber - Dessert de prunes séchées,Nourriture pour les enfants
15613,  Classic 100% Arabica Kawa palona ziarnista 1 kg,Kawa,Classic 100% Arabica Roasted coffee beans 1 kg,Coffee,Grains de café torréfiés classiques 100% Arabica 1 kg,café
9209,Paw Patrol - Mleko UHT o smaku truskawkowym,Mleko ?wie?e niskot?uszczowe,Paw Patrol - UHT milk with strawberry flavor,Fresh low-fat milk,Paw Patrol - Lait UHT au goût de fraise,Lait frais faible en gras
8609,Makar - mieszanka studencka,Owoce suszone i orzechy,Makar - student mix,Dried fruits and nuts,Makar - mélange d&#39;étudiants,Fruits secs et noix
11837,The Grower's Harvest Oliwki zielone drylowane w s?onej zalewie 195 g,Warzywa suszone i pozosta?e przetwory warzywne,The Grower&#39;s Harvest Green olives pitted in a salty pickle 195 g,Dried vegetables and other vegetable preserves,Les olives vertes du producteur cultivées dans un cornichon salé 195 g,Légumes secs et autres préparations à base de légumes
4949,"Sprite1,5l ",Napoje orze?wiaj?ce,"Sprite1,5l",Refreshing drinks,"Sprite1,5l",Boissons rafraîchissantes
15440,Herbapol Zielnik Polski Suplement diety herbatka zio?owa morwa bia?a 40 g (20 x 2 g),Herbata,Herbapol Zielnik Polski Dietary supplement herbal tea white mulberry 40 g (20 x 2 g),Tea,Herbapol Zielnik Polski Complément alimentaire tisane mûrier blanc 40 g (20 x 2 g),thé
1188,Go??bki w sosie pomidorowym Mi?dzychód ,Gotowe dania,Stuffed cabbage leaves in tomato sauce Mi?dzychód,Prepared dishes,Feuilles de chou farcies à la sauce tomate Mi?dzychód,Plats cuisinés
7923,Jogobella - jogurt  o smaku wi?niowym,Jogurt,Jogobella - cherry flavored yogurt,Yoghurt,Jogobella - Yaourt à la cerise,yaourt
14926,Président Ser w proszku Corregio 100 g,Sery i twarogi,Président Corregio cheese powder 100 g,Cheese and curd,Fromage Président Corregio en poudre 100 g,Fromage et caillé
8334,La Pedriza - Oliwki zielone bez pestek,Warzywa suszone i pozosta?e przetwory warzywne,La Pedriza - Pitted green olives,Dried vegetables and other vegetable preserves,La Pedriza - Olives vertes dénoyautées,Légumes secs et autres préparations à base de légumes
5153,Tabletki musuj?ce witamina c 1000mg ,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Effervescent tablets vitamin C 1000mg,Other food items not elsewhere classified,Comprimés effervescents vitamine C 1000 mg,Autres produits alimentaires nca
2105,Konfitura ?owicz z Moreli ,"D?emy, marmolady i miód",?owicz jam from Apricot,"Jams, marmalades and honey",?owicz confiture d&#39;abricot,"Confitures, marmelades et miel"
11027,Kotányi Pieprz cayenne mielony 20 g,"Sól, przyprawy korzenne i zio?a kulinarne",Kotányi Ground Cayenne Pepper 20 g,"Salt, spices and culinary herbs",Kotányi poivre de Cayenne moulu 20 g,"Sel, épices et herbes culinaires"
1353,Herbata Sir Williams royal taste duke of forest 12 szt ,Herbata,Tea Sir Williams royal taste duke of forest 12 pcs,Tea,Thé Sir Williams goût royal duc de forêt 12 pcs,thé
15245,Teekanne Green Tea Herbata zielona 35 g (20 torebek),Herbata,Teekanne Green Tea Green Tea 35 g (20 bags),Tea,Thé vert Teekanne Thé vert 35 g (20 sachets),thé
5641,Amora - Musztarda Dijon,"Sosy, przyprawy",Cupid - Dijon Mustard,"Sauces, spices",Cupidon - Moutarde De Dijon,"Sauces, Epices"
11488,Prymat Fix Mój przepis na soczystego kurczaka 36 g,"Sosy, przyprawy",Prymat Fix My recipe for juicy chicken 36 g,"Sauces, spices",Prymat Fix My recette pour poulet juteux 36 g,"Sauces, Epices"
15991,Gucio Sok z marchwi truskawek jab?ek wzbogacony witamin? C 330 ml,Soki owocowe i warzywne,Gucio Carrot apple strawberry juice enriched with vitamin C 330 ml,Fruit and vegetable juices,Gucio Jus de pomme à la fraise enrichi en vitamine C 330 ml,Jus de fruits et de légumes
11811,Princes Tu?czyk w kawa?kach w sosie w?asnym 170 g,Pozosta?e przetwory z ryb i owoców morza,Princes Tuna pieces in gravy 170 g,Other preparations of fish and seafood,Morceaux de thon Princes en sauce 170 g,Autres préparations de poisson et de fruits de mer
1217,Groszek ,Warzywa mro?one inne ni? ziemniaki lub pozosta?e warzywa bulwiaste,peas,"Frozen vegetables, other than potatoes or other tuber vegetables",pois,Légumes congelés autres que les pommes de terre ou autres tubercules
7397,Goliard - Makaron spaghetti,Makarony i produkty makaronowe,Goliard - Spaghetti pasta,Pasta and pasta products,Goliard - Spaghettis,Pâtes et macaronis
2677,Mieszanka chi?ska Hortex ,Gotowe dania,Hortex Chinese mix,Prepared dishes,Mélange Hortex Chinois,Plats cuisinés
11316,Knorr Sos sa?atkowy paprykowo-zio?owy 9 g,"Sosy, przyprawy",Knorr Salad with pepper and herb 9 g,"Sauces, spices",Knorr Salade au poivre et aux herbes 9 g,"Sauces, Epices"
16584,  Finest Awokado Hass 320 g (2 sztuki),Warzywa ?wie?e lub ch?odzone inne ni? ziemniaki lub pozosta?e warzywa bulwiaste,Finest Avocado Hass 320 g (2 pieces),"Fresh or chilled vegetables, other than potatoes or other tuber vegetables",Le meilleur avocat Hass 320 g (2 pièces),Légumes frais ou réfrigérés autres que les pommes de terre ou autres tubercules
8488,Livity - Agar Agar substancja zeluj?ca z wodorostów,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Livity - Agar Agar is a gelling agent from seaweed,Other food items not elsewhere classified,Livity - Agar Agar est un agent gélifiant à base d&#39;algues,Autres produits alimentaires nca
4,sa?atka z batatów,Pozosta?e warzywa bulwiaste i przetwory z warzyw bulwiastych,sweet potato salad,Other tuber vegetables and preparations of tuber vegetables,salade de patates douces,Autres légumes à légumes et préparations à base de légumes à tubercules
8942,Nasze domowe - Konfitura z p?atków ró?,"D?emy, marmolady i miód",Our home - Jam made of rose petals,"Jams, marmalades and honey",Notre maison - Confiture de pétales de rose,"Confitures, marmelades et miel"
6716,Costa - Napój czarna porzeczka,Soki owocowe i warzywne,Costa - Blackcurrant drink,Fruit and vegetable juices,Costa - boisson au cassis,Jus de fruits et de légumes
9720,Sante - Go On! Baton orzechowy z inulin?,Wyroby cukiernicze,Sante - Go On! Nut bar with insulin,Confectionery,Santé - Continuez! Barre de noix avec insuline,Confiserie
4471,Ser topiony bloczek szczypiorek-cebula ,Sery i twarogi,"Cheese, processed onion and chives",Cheese and curd,"Fromage, oignons transformés et ciboulette",Fromage et caillé
16324,Chleb ciabattowy 400 g,Pieczywo,Ciabatta bread 400 g,Bread,Pain Ciabatta 400 g,pain
12708,Lubisie Ciastko biszkoptowe z nadzieniem jab?kowo-truskawkowym 30 g,Pozosta?e wyroby piekarskie,Lubisie Sponge cake with apple and strawberry filling 30 g,Other bakery products,Lubisie Gâteau éponge fourré aux pommes et à la fraise 30 g,Autres produits de boulangerie
15730,?ywiec Zdrój Na Gazie Napój gazowany pomara?czowy 1 l,Wody mineralne lub ?ródlane,?ywiec Zdrój Na Gazie Orange carbonated drink 1 l,Mineral or spring waters,Ywiec Zdrój Na Gazie Boisson gazéifiée à l&#39;orange 1 l,Eaux minérales ou sources
3046,Napój mleczny o smaku mango ,Pozosta?e produkty mleczne,Mango flavor milk drink,Other dairy products,Boisson au lait à la mangue,Autres produits laitiers
3691,Placek czeski margo ,Pozosta?e wyroby piekarskie,Czech margo cake,Other bakery products,Gâteau Tchèque Margo,Autres produits de boulangerie
15879,Kubu? Waterrr Napój o smaku cytryny 500 ml,Soki owocowe i warzywne,Winnie Waterrr Lemon flavored drink 500 ml,Fruit and vegetable juices,Winnie Waterrr Boisson aromatisée au citron 500 ml,Jus de fruits et de légumes
6115,Aviko - Frytki Zig Zag karbowane,Ziemniaki,Aviko - Zig Zag French fries,potatoes,Aviko - Zig Zag frites,pommes de terre
1888,Kawa zbo?owa Inka b?onnik ,Kawa,Inka grain coffee,Coffee,Café à grains Inka,café
3885,Przyprawa do taco ,"Sól, przyprawy korzenne i zio?a kulinarne",Taco spice,"Salt, spices and culinary herbs",Taco Spice,"Sel, épices et herbes culinaires"
13970,Hortex Warzywa na patelni? 750 g,Warzywa mro?one inne ni? ziemniaki lub pozosta?e warzywa bulwiaste,Hortex Vegetables in a frying pan 750 g,"Frozen vegetables, other than potatoes or other tuber vegetables",Hortex Légumes dans une poêle à frire 750 g,Légumes congelés autres que les pommes de terre ou autres tubercules
14596,Danone Activia Jogurt siemi? lniane gruszka-kiwi 280 g,Jogurt,Danone Activia Yogurt linseed pear-kiwi 280 g,Yoghurt,Yogourt à la poire et au kiwi Danone Activia 280 g,yaourt
4856,Sos ?owicz s?odko-kwa?ny ,"Sosy, przyprawy",?owicz sweet and sour sauce,"Sauces, spices",?owicz sauce aigre-douce,"Sauces, Epices"
4884,Sos sojowy Yamasa ,"Sosy, przyprawy",Yamasa Soy Sauce,"Sauces, spices",Sauce de soja Yamasa,"Sauces, Epices"
10893,Melvit Owsiane p?atki b?yskawiczne 400 g,P?atki ?niadaniowe,Melvit Oatmeal flakes 400 g,Breakfast cereals,Flocons d&#39;avoine Melvit 400 g,Céréales de petit déjeuner
2490,Makaron Melissa Primo Gusto Bucatini no.5,Makarony i produkty makaronowe,Melissa Primo Gusto Bucatini pasta no.5,Pasta and pasta products,Melissa Primo Gusto Bucatini pâtes no.5,Pâtes et macaronis
12171,Owocowa Rozkosz D?em truskawka z rabarbarem niskos?odzony 250 g,"D?emy, marmolady i miód",Fruit sweetness Low-sugar strawberry rhubarb jam 250 g,"Jams, marmalades and honey",Confiture de fruits Confiture de rhubarbe à la fraise et à la fraise sans sucre 250 g,"Confitures, marmelades et miel"
1376,Herbata Tetley Intensive Earl Grey Lemon 100*2g ,Herbata,Tetley Intensive Earl Gray Lemon 100 * 2g,Tea,Tetley Intensive Earl Grey Thé au citron 100 * 2g,thé
5097,?ledzik na raz w sosie koperkowym Lisner,Pozosta?e przetwory z ryb i owoców morza,Herring in a dill sauce Lisner,Other preparations of fish and seafood,Hareng à la sauce à l&#39;aneth Lisner,Autres préparations de poisson et de fruits de mer
2937,Nacho chips ,Chipsy,Nacho chips,Chips,Nacho chips,chips
2224,Len mielony Oleofarm ,Owoce suszone i orzechy,Oleofarm ground flax,Dried fruits and nuts,Oléofarm moulu,Fruits secs et noix
7078,Dr. Oetker - S?odka Chwila budy? czekoladowy duet czekolada i w...,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Dr. Oetker - Sweet Moment chocolate pudding chocolate duo and ...,Other food items not elsewhere classified,Dr. Oetker - Duo de chocolats Sweet Moment au chocolat et au ...,Autres produits alimentaires nca
4670,Soczewica Sante zielona,Warzywa suszone i pozosta?e przetwory warzywne,Sante green lentils,Dried vegetables and other vegetable preserves,Sante lentilles vertes,Légumes secs et autres préparations à base de légumes
1502,Jarmu? - Hortex ,Warzywa mro?one inne ni? ziemniaki lub pozosta?e warzywa bulwiaste,Kale - Hortex,"Frozen vegetables, other than potatoes or other tuber vegetables",Kale - Hortex,Légumes congelés autres que les pommes de terre ou autres tubercules
14552,Danone Fantasia Jogurt kremowy marakuja z nut? ja?minu 122 g,Jogurt,Danone Fantasia Creamy passion fruit yogurt with a hint of jasmine 122 g,Yoghurt,Danone Fantasia Yaourt crémeux aux fruits de la passion avec une pointe de jasmin 122 g,yaourt
2693,Mieszanka przypraw Kotanyi zio?owa do mas?a ,"Sól, przyprawy korzenne i zio?a kulinarne",Herb Kotanyi spice mixture for butter,"Salt, spices and culinary herbs",Mélange d&#39;épices Herb Kotanyi pour beurre,"Sel, épices et herbes culinaires"
10649,Cenos Ry? parboiled 400 g (4 torebki),Ry?,Cenos Parboiled Rice 400 g (4 bags),Rice,Riz étuvé Cenos 400 g (4 sacs),riz
12349,Dr. Oetker Kisiel smak wi?niowy 38 g,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Dr. Oetker Kisiel cherry flavor 38 g,Other food items not elsewhere classified,Dr. Oetker Kisiel arôme cerise 38 g,Autres produits alimentaires nca
8774,Milka - Choco Wafer wafelki z kremem kakaowym,Pozosta?e wyroby piekarskie,Milka - Choco Wafer wafers with cocoa cream,Other bakery products,Milka - Gaufrettes Choco Wafer à la crème de cacao,Autres produits de boulangerie
13144,Lay's Oven Baked Pieczone formowane chipsy ziemniaczane o smaku grillowanej papryki 125 g,Chipsy,Lay&#39;s Oven Baked Baked molded potato chips flavored with grilled pepper 125 g,Chips,Croustilles moulées fourrées au four de Lay&#39;s Oven Baked aromatisées au poivre grillé 125 g,chips
6154,Bakalland - Masa krówkowa kajmakowa,Wyroby cukiernicze,Bakalland - Kajmak fudge mass,Confectionery,Bakalland - Masse de fudge Kajmak,Confiserie
16482,Ananas,Owoce ?wie?e lub ch?odzone,Pineapple,Fresh or chilled fruits,ananas,Fruits frais ou réfrigérés
14500,Müller Müllermilch Napój mleczny o smaku czekoladowo-orzechowym 377 ml,Jogurt,Müller Müllermilch Milk drink with chocolate nut flavor 377 ml,Yoghurt,Müller Müllermilch Boisson lactée au goût de noix au chocolat 377 ml,yaourt
12320,Delecta Kisiel smak truskawkowy 58 g,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Delecta Kisiel strawberry flavor 58 g,Other food items not elsewhere classified,Delecta Kisiel Arôme Fraise 58 g,Autres produits alimentaires nca
11331,Kamis Musztarda Dijon 185 g,"Sosy, przyprawy",Kamis Dijon Mustard 185 g,"Sauces, spices",Kamis Moutarde Dijon 185 g,"Sauces, Epices"
12408,  Galaretka o smaku agrestowym 2 x 75 g,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Gooseberry jelly 2 x 75 g,Other food items not elsewhere classified,Gelée de groseille 2 x 75 g,Autres produits alimentaires nca
10744,  Kasza gryczana pra?ona 400 g (4 x 100 g),M?ka i pozosta?e zbo?a,Roasted buckwheat 400 g (4 x 100 g),Flour and other cereals,Sarrasin grillé 400 g (4 x 100 g),Farine et autres céréales
13157,Lay's Chipsy ziemniaczane o smaku papryki 140 g,Chipsy,Lay&#39;s Potato chips with paprika flavor 140 g,Chips,Chips de pommes de terre au paprika 140 g,chips
10416,nimm2 - ?miej?elki Shaki ?elki owocowe data przydatno?ci 3...,Wyroby cukiernicze,"nimm2 - ?miej?elki Shaki fruit jelly, shelf life 3 ...",Confectionery,"nimm2 - Gelée de fruits kimiej?elki Shaki, durée de conservation 3 ...",Confiserie
744,Czekolada Wawel Mleczna bez cukru ,Czekolada,Wawel Milk Chocolate without sugar,Chocolate,Wawel Chocolat Au Lait Sans Sucre,chocolat
16205,  Syrop owocowy owoce le?ne 500 ml,Soki owocowe i warzywne,"Fruit syrup, forest fruit, 500 ml",Fruit and vegetable juices,"Sirop de fruits, fruits des bois, 500 ml",Jus de fruits et de légumes
7967,Kamis - Cynamon mielony,"Sól, przyprawy korzenne i zio?a kulinarne",Kamis - Ground cinnamon,"Salt, spices and culinary herbs",Kamis - cannelle moulue,"Sel, épices et herbes culinaires"
2837,"Mleko ?aciate 2,0% ",Mleko ?wie?e niskot?uszczowe,Spotted milk 2.0%,Fresh low-fat milk,Lait tacheté 2.0%,Lait frais faible en gras
13649,Duda Spécialité Czernichowska w?dzona 100 g,W?dliny,Duda Spécialité Czernichowska smoked 100 g,meats,Duda Spécialité Czernichowska fumé 100 g,viandes
11167,Prymat Cynamon mielony 15 g,"Sól, przyprawy korzenne i zio?a kulinarne",Prymat Ground cinnamon 15 g,"Salt, spices and culinary herbs",Prymat Cannelle moulue 15 g,"Sel, épices et herbes culinaires"
7681,Hochland - Sortett ser kremowy topiony w trójk?cikach,Sery i twarogi,Hochland - Sortett cream cheese melted in triangles,Cheese and curd,Hochland - Fromage à la crème Sortett fondu en triangles,Fromage et caillé
10641,Uncle Ben's Ry? d?ugoziarnisty 500 g (4 torebki),Ry?,Uncle Ben&#39;s Long grain rice 500 g (4 bags),Rice,Riz à grains longs Uncle Ben&#39;s 500 g (4 sacs),riz
7894,Jacobs - Krönung Kawa ziarnista 1kg,Kawa,Jacobs - Krönung Coffee beans 1kg,Coffee,Jacobs - Café Krönung 1kg,café
7984,Kamis - Musztarda sarepska,"Sosy, przyprawy",Kamis - Gray mustard,"Sauces, spices",Kamis - Moutarde Grise,"Sauces, Epices"
385,Chleb Mistrza Piotra ,Pieczywo,Master Peter&#39;s bread,Bread,Pain de maître pierre,pain
154,Baton orzech z migda?em i miodem ,Wyroby cukiernicze,Walnut bar with almond and honey,Confectionery,Barre aux noix aux amandes et au miel,Confiserie
9293,Pi?tnica - Jogurt Pi?tu? typu greckiego waniliowy,Jogurt,Piatnica - Greek-style Piatus yogurt Vanilla,Yoghurt,Piatnica - Yaourt Piatus à la Grecque Vanille,yaourt
7817,Incola - Spaghetti alla Chitarra Makaron bezglutenowy,Makarony i produkty makaronowe,Incola - Spaghetti alla Chitarra Gluten-free pasta,Pasta and pasta products,Incola - Spaghetti alla Chitarra Pâtes sans gluten,Pâtes et macaronis
12306,Dr. Oetker S?odka Chwila Kisiel smak morelowy 30 g,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Dr. Oetker Sweet Chwila Kisiel apricot flavor 30 g,Other food items not elsewhere classified,Dr. Oetker Sweet Chwila Kisiel au goût d&#39;abricot 30 g,Autres produits alimentaires nca
8200,Kotlin - Ketchup ?agodny,"Sosy, przyprawy",Kotlin - Mild ketchup,"Sauces, spices",Kotlin - ketchup doux,"Sauces, Epices"
17074,W?tróbka kurczaka zagrodowego,Podroby i przetwory podrobowe,Farm chicken liver,Offal and offal products,Foie de poulet de ferme,Préparations d&#39;abats et d&#39;abats
9268,Piekarnia Jutrzenka - Chleb rodzinny wieloziarnisty,Pieczywo,Jutrzenka Bakery - Multigrain family bread,Bread,Jutrzenka Bakery - Pain de famille multigrain,pain
1424,Herbatniki krakuski paluszkki carmelio z mas? karemlow? ,Pozosta?e wyroby piekarskie,Carmelio breadcrumbs with caramel mass,Other bakery products,Carmelio chapelure à la masse de caramel,Autres produits de boulangerie
9088,Nostalgia - Konfitura wi?niowa niskos?odzona,"D?emy, marmolady i miód",Nostalgia - Low-sugar cherry jam,"Jams, marmalades and honey",Nostalgie - Confiture de cerises à faible teneur en sucre,"Confitures, marmelades et miel"
