Desc_P,Code_P,Desc_E,Code_E,Desc_F,Code_F
7 Days Mini Croissant z nadzieniem kakaowym ,Pozosta?e wyroby piekarskie,7 Days Mini Croissant with cocoa filling,Other bakery products,7 jours Mini-croissant fourré au cacao,Autres produits de boulangerie
"7 UP 0,5l ",Napoje orze?wiaj?ce,7 UP 0.5l,Refreshing drinks,7 UP 0.5l,Boissons rafraîchissantes
7 UP 1l ,Napoje orze?wiaj?ce,7 UP 1l,Refreshing drinks,7 UP 1l,Boissons rafraîchissantes
"7 UP puszka 0,33l ",Napoje orze?wiaj?ce,"7 UP can 0,33l",Refreshing drinks,"7 UP peut 0,33l",Boissons rafraîchissantes
Actimel Mleko fermentowane rokitnik & czarna porzeczka & acai ,Jogurt,Actimel Fermented sea buckthorn milk &amp; blackcurrant &amp; acai,Yoghurt,"Actimel au lait d&#39;argousier fermenté, au cassis et à l&#39;açaï",yaourt
Agrest ,Owoce mro?one,Gooseberry,Frozen fruit,groseillier,Fruits congelés
Agrest w czekoladzie deserowej ,Wyroby cukiernicze,Gooseberry in dark chocolate,Confectionery,Groseille à maquereau au chocolat noir,Confiserie
Ale pitny jagoda borówka butelka ,Jogurt,But a potable blueberry blueberry bottle,Yoghurt,Mais une bouteille de myrtille bleuet,yaourt
Almette mini ?mietankowy 120 g ,Sery i twarogi,Almette mini cream 120 g,Cheese and curd,Almette mini crème 120 g,Fromage et caillé
Almette mini z zio?ami 120g ,Sery i twarogi,Almette mini with herbs 120g,Cheese and curd,Almette mini aux herbes 120g,Fromage et caillé
Amarantus bio   i  ,M?ka i pozosta?e zbo?a,Amarantus bio and,Flour and other cereals,Amarantus bio et,Farine et autres céréales
Amarantus Bio Planet,M?ka i pozosta?e zbo?a,Amarantus Bio Planet,Flour and other cereals,Amarantus Bio Planet,Farine et autres céréales
Amarantus ekspandowany ,M?ka i pozosta?e zbo?a,Expanded Amaranth,Flour and other cereals,Amarante expansée,Farine et autres céréales
"Ameryka?ska fasolka ""barbecue"" ",Warzywa suszone i pozosta?e przetwory warzywne,American Bean &quot;Barbecue&quot;,Dried vegetables and other vegetable preserves,Haricot d&#39;Amérique &quot;Barbecue&quot;,Légumes secs et autres préparations à base de légumes
Ananas Del Monte - plastry w syropie ,Przetwory owocowe,Pineapple Del Monte - slices in syrup,Fruit preserves,Ananas Del Monte - tranches au sirop,Conserves de fruits
Ananas du?y (kg) ,Owoce ?wie?e lub ch?odzone,Big pineapple (kg),Fresh or chilled fruits,Gros ananas (kg),Fruits frais ou réfrigérés
Ananas kawa?ki 565g ,Przetwory owocowe,Pineapple pieces 565g,Fruit preserves,Morceaux d&#39;ananas 565g,Conserves de fruits
Ananas MK ,Przetwory owocowe,Pineapple MK,Fruit preserves,Ananas MK,Conserves de fruits
Ananas plastry Sandra ,Przetwory owocowe,Pineapple Sandra slices,Fruit preserves,Tranches Sandra Ananas,Conserves de fruits
Ananas plastry w lekkim syropie ,Przetwory owocowe,Pineapple slices in a light syrup,Fruit preserves,Tranches d&#39;ananas au sirop léger,Conserves de fruits
Ananasy plastry Splendor ,Przetwory owocowe,Pineapple slices Splendor,Fruit preserves,Tranches d&#39;ananas Splendor,Conserves de fruits
Anchois roladki z kaparami ,Pozosta?e przetwory z ryb i owoców morza,Anchovies roulades with capers,Other preparations of fish and seafood,Roulades d&#39;anchois aux câpres,Autres préparations de poisson et de fruits de mer
Anchois w oliwie oleju sl. ,Pozosta?e przetwory z ryb i owoców morza,Anchovies in olive oil sl.,Other preparations of fish and seafood,Anchois à l&#39;huile d&#39;olive sl.,Autres préparations de poisson et de fruits de mer
Anchois w oliwie z oliwek ,Pozosta?e przetwory z ryb i owoców morza,Anchovies in olive oil,Other preparations of fish and seafood,Anchois à l&#39;huile d&#39;olive,Autres préparations de poisson et de fruits de mer
Any? gwiazdki ,"Sól, przyprawy korzenne i zio?a kulinarne",Anise stars,"Salt, spices and culinary herbs",Étoiles d&#39;anis,"Sel, épices et herbes culinaires"
Any? Royal Brand gwiazdki,"Sól, przyprawy korzenne i zio?a kulinarne",Anise Royal Brand stars,"Salt, spices and culinary herbs",Anise Royal Brand stars,"Sel, épices et herbes culinaires"
Apetina Serek Kremowy Naturalny ,Sery i twarogi,Apetina Natural Cream Cheese,Cheese and curd,Fromage à la crème Apetina Natural,Fromage et caillé
Apetina Serek Kremowy Pesto i Rukola ,Sery i twarogi,Apetina Cream Cheese Pesto and Arugula,Cheese and curd,Pesto au fromage à la crème Apetina et roquette,Fromage et caillé
Apetina Serek Kremowy Pomidory i Bazylia ,Sery i twarogi,Apetina Cream Cheese Tomatoes and Basil,Cheese and curd,Fromage à la crème Apetina Tomates et Basilic,Fromage et caillé
Apetina Serek Kremowy Tapas ,Sery i twarogi,Apetina Cream Cheese Tapas,Cheese and curd,Tapas au fromage à la crème Apetina,Fromage et caillé
Apetina Snack z chili ,Sery i twarogi,Apetina Snack with chili,Cheese and curd,Apetina Snack avec chili,Fromage et caillé
Apetina Snack z suszonymi pomidorami ,Sery i twarogi,Apetina Snack with sun-dried tomatoes,Cheese and curd,Apetina Snack aux tomates séchées,Fromage et caillé
Apetina Snack z zielonymi oliwkami i czosnkiem ,Sery i twarogi,Apetina Snack with green olives and garlic,Cheese and curd,Apetina Snack aux olives vertes et à l&#39;ail,Fromage et caillé
Apetina snack z zio?ami. ,Sery i twarogi,Apetina herb snack.,Cheese and curd,Apetina collation aux herbes.,Fromage et caillé
Apetina w kostkach bez laktozy ,Sery i twarogi,Cubed apetine without lactose,Cheese and curd,Apetine en cubes sans lactose,Fromage et caillé
Apetina w kostkach z czosnkiem i pietruszk? ,Sery i twarogi,Cubed apetina with garlic and parsley,Cheese and curd,Apetina en cubes à l&#39;ail et au persil,Fromage et caillé
Apetina w kostkach z papryk? i chili ,Sery i twarogi,Cubed apetina with peppers and chili,Cheese and curd,Apetina en cubes avec poivrons et piment,Fromage et caillé
Aromat Delecta Arakowy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Aroma Delecta Arakowy,Other food items not elsewhere classified,Aroma Delecta Arakowy,Autres produits alimentaires nca
Aromat Delecta Cytrynowy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Lemon Delecta aroma,Other food items not elsewhere classified,Arôme Delecta au Citron,Autres produits alimentaires nca
Aromat Delecta do ciast wanilia ,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Delecta aroma for vanilla cakes,Other food items not elsewhere classified,Arôme Delecta pour les gâteaux à la vanille,Autres produits alimentaires nca
Aromat Delecta Migda?owy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Almond Delecta aroma,Other food items not elsewhere classified,Arôme Delecta Amande,Autres produits alimentaires nca
Aromat Delecta Pomara?czowy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Delecta Orange aroma,Other food items not elsewhere classified,Arôme Delecta Orange,Autres produits alimentaires nca
Aromat Delecta Rumowy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Aroma Delecta Rum,Other food items not elsewhere classified,Aroma Delecta Rum,Autres produits alimentaires nca
Aromat Dr.oetker migda?owy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Aroma Dr.oetker almond,Other food items not elsewhere classified,Arôme Dr.oetker Amande,Autres produits alimentaires nca
Aromat Dr.oetker pomara?czowy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Aroma Dr.oetker orange,Other food items not elsewhere classified,Dr.oetker saveur d&#39;orange,Autres produits alimentaires nca
Aromat Dr.oetker rumowy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Aroma Dr.oetker rum,Other food items not elsewhere classified,Rhum Aroma Dr.oetker,Autres produits alimentaires nca
Aromat Dr.oetker ?mietankowy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Aroma Dr.oetker cream,Other food items not elsewhere classified,Aroma Dr.oetker crème,Autres produits alimentaires nca
Aronia ,Owoce suszone i orzechy,Aronia,Dried fruits and nuts,Aronia,Fruits secs et noix
Avocado hass(rte)-meksyk/kostaryka ,Owoce ?wie?e lub ch?odzone,Avocado hass (rte) -mexico / costa rica,Fresh or chilled fruits,Avocat hass (rte) -mexico / costa rica,Fruits frais ou réfrigérés
Avocado kal.20-22-izrael/hiszpania ,Owoce ?wie?e lub ch?odzone,Avocado cal. 20-22-Israel / Spain,Fresh or chilled fruits,Avocat 20-22-Israël / Espagne,Fruits frais ou réfrigérés
Ba! baton proteinowy after training recovery ,Wyroby cukiernicze,Bah! protein bar after training recovery,Confectionery,Bah! barre de protéines après la récupération de l&#39;entraînement,Confiserie
Babeczka Reese's ,Pozosta?e wyroby piekarskie,Reese&#39;s cupcake,Other bakery products,Petit gâteau de Reese,Autres produits de boulangerie
Babeczka ?wi?teczna - NOWACZYK /28g ,Pozosta?e wyroby piekarskie,Christmas cupcake - NOWACZYK / 28g,Other bakery products,Gâteau de Noël - NOWACZYK / 28g,Autres produits de boulangerie
Babeczki brownie mocno czekoladowe ,Pozosta?e produkty zbo?owe,Very chocolate brownie muffins,Other cereal products,Muffins au chocolat très chocolat,Autres produits céréaliers
Babeczki czekoladowe madeleines/210g ,Pozosta?e wyroby piekarskie,Madeleines chocolate cupcakes / 210g,Other bakery products,Madeleines au chocolat / 210g,Autres produits de boulangerie
Babeczki Delecta ,Pozosta?e produkty zbo?owe,Delecta cupcakes,Other cereal products,Cupcakes Delecta,Autres produits céréaliers
Babeczki Dr.Oetker jogurtowe,Pozosta?e produkty zbo?owe,Yogurt muffins Dr. Oetker,Other cereal products,Muffins au yaourt Dr. Oetker,Autres produits céréaliers
Babeczki Dr.oetker z p?atkami czekolady,Pozosta?e produkty zbo?owe,Dr.oetker muffins with chocolate flakes,Other cereal products,Muffins Dr.oetker avec des flocons de chocolat,Autres produits céréaliers
Babeczki dyniowe ,Pozosta?e produkty zbo?owe,Pumpkin muffins,Other cereal products,Muffins à la citrouille,Autres produits céréaliers
Babeczki Kopce Kreta Dr.Oetker ,Pozosta?e produkty zbo?owe,Muffins Mole Crete Dr. Dr. Oetker,Other cereal products,Muffins Mole Crete Dr. Dr. Oetker,Autres produits céréaliers
Babeczki madeleines ,Pozosta?e wyroby piekarskie,Madeleines cupcakes,Other bakery products,Cupcakes aux Madeleines,Autres produits de boulangerie
Babka dro?d?owa  ,Pozosta?e wyroby piekarskie,Brioche,Other bakery products,Gâteau à la levure,Autres produits de boulangerie
Babka la gran colomba/1kg ,Pozosta?e wyroby piekarskie,Plantain la gran colomba / 1kg,Other bakery products,Plantain à la colombe / 1kg,Autres produits de boulangerie
Babka marmurkowa ,Pozosta?e wyroby piekarskie,Marble cake,Other bakery products,Gâteau marbré,Autres produits de boulangerie
Babka piaskowa ,Pozosta?e wyroby piekarskie,Sand cake,Other bakery products,Gâteau de sable,Autres produits de boulangerie
Babol Chupa Chups Strawberry ,Wyroby cukiernicze,Babol Chupa Chups Strawberry,Confectionery,Babol Chupa Chups Fraise,Confiserie
Babol Chupa Chups Tutti Frutti ,Wyroby cukiernicze,Babol Chupa Chups Tutti Frutti,Confectionery,Babol Chupa Chups Tutti Frutti,Confiserie
Bakalie Kibica   i  ,Owoce suszone i orzechy,Delicacies Fan and,Dried fruits and nuts,Fan de Gourmandises et,Fruits secs et noix
Balsamico czosnkowe ,"Sosy, przyprawy",Garlic balsamico,"Sauces, spices",Balsamique à l&#39;ail,"Sauces, Epices"
Balsamico naturalne ,"Sosy, przyprawy",Natural balsamico,"Sauces, spices",Balsamique naturel,"Sauces, Epices"
Balsamico waniliowe ,"Sosy, przyprawy",Vanilla Balsamico,"Sauces, spices",Vanille balsamique,"Sauces, Epices"
Banan liofilizowany ,Owoce suszone i orzechy,Freeze-dried banana,Dried fruits and nuts,Banane lyophilisée,Fruits secs et noix
Banany ,Owoce ?wie?e lub ch?odzone,bananas,Fresh or chilled fruits,bananes,Fruits frais ou réfrigérés
Baranek wielkanocny z mas?a ,Mas?o,Easter lamb with butter,Butter,Agneau de Pâques au beurre,beurre
Barszcz bia?y Knorr ekspresowy ,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr white borscht express,Other food items not elsewhere classified,Knors borscht express blanc,Autres produits alimentaires nca
Barszcz czerwony Amino ,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Amino red borscht,Other food items not elsewhere classified,Bortsch rouge aminé,Autres produits alimentaires nca
Barszcz czerwony Winiary instant Instant,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Beetroot soup Winiary instant Instant,Other food items not elsewhere classified,Soupe de betteraves rouges instantané au Winiary Instantané,Autres produits alimentaires nca
Barszcz ukrai?ski eat me ,Gotowe dania,Ukrainian borscht eat me,Prepared dishes,Bortsch ukrainien mange moi,Plats cuisinés
Barszczyk czerwony Rolnik ,Gotowe dania,Red borscht Farmer,Prepared dishes,Bortsch rouge fermier,Plats cuisinés
Barwnik spo?ywczy czerwony dr.oetker ,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Dr.oetker red food coloring,Other food items not elsewhere classified,Dr.oetker colorant alimentaire rouge,Autres produits alimentaires nca
Barwnik spo?ywczy niebieski dr.oetker ,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Dr.oetker blue food coloring,Other food items not elsewhere classified,Colorant alimentaire Dr.oetker bleu,Autres produits alimentaires nca
Barwnik spo?ywczy zielony dr.oetker ,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Dr.oetker green food color,Other food items not elsewhere classified,Colorant alimentaire vert Dr.oetker,Autres produits alimentaires nca
Barwnik spo?ywczy ?ó?ty dr.oetker ,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Food grade yellow dr.oetker,Other food items not elsewhere classified,Dr.oetker alimentaire jaune,Autres produits alimentaires nca
Barwniki spo?ywcze do ?ywno?ci ,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Food colors for food,Other food items not elsewhere classified,Colorants alimentaires pour la nourriture,Autres produits alimentaires nca
Baton 3Bit classic ,Wyroby cukiernicze,3Bit classic bar,Confectionery,Bar classique à 3 bits,Confiserie
Baton 3bit orzech ,Wyroby cukiernicze,3bit nut bar,Confectionery,Barre de noix 3bit,Confiserie
Baton Bajeczny ,Wyroby cukiernicze,Fabulous bar,Confectionery,Fabuleux bar,Confiserie
Baton banana ,Wyroby cukiernicze,Banana bar,Confectionery,Banane bar,Confiserie
Baton bananowo-jab?kowy hipp bio ,Wyroby cukiernicze,Banana-apple hipp bio bar,Confectionery,Barre bio banane-pomme hipp,Confiserie
Baton banany-wi?nia-jogurt bio ,Wyroby cukiernicze,Banana-cherry-organic yogurt bar,Confectionery,"Barre de yaourt à la banane, aux cerises et à l&#39;agriculture biologique",Confiserie
Baton Bounty 2pack ,Wyroby cukiernicze,Bounty 2pack bar,Confectionery,Bounty 2pack bar,Confiserie
Baton Bounty Trio ,Wyroby cukiernicze,Bounty Trio bar,Confectionery,Bounty Trio Bar,Confiserie
Baton Chocapic ,Wyroby cukiernicze,Chocapic bar,Confectionery,Bar Chocapic,Confiserie
Baton Cini Minis ,Wyroby cukiernicze,Cini Minis bar,Confectionery,Bar Cini Minis,Confiserie
Baton cookie's and creme hershey's ,Wyroby cukiernicze,Baton cookie&#39;s and creme hershey&#39;s,Confectionery,Baton cookie&#39;s et crème Hershey,Confiserie
Baton corny big kokosowo-czekoladowy kokosowy,Wyroby cukiernicze,A big coconut and chocolate coconut corny bar,Confectionery,Une grosse noix de coco et noix de coco,Confiserie
Baton corny big ?urawinowy ,Wyroby cukiernicze,Big cranberry corny bar,Confectionery,Barre cornue aux canneberges,Confiserie
Baton Crispy Crunchy Reese's ,Wyroby cukiernicze,Crispy Crunchy Reese&#39;s bar,Confectionery,Croustillant Crunchy Reese&#39;s,Confiserie
Baton Crunchy ?urawina-malina w polewie waniliowej ,Wyroby cukiernicze,Crunchy cranberry-raspberry vanilla coating,Confectionery,"Enrobage croquant à la vanille, aux canneberges et à la framboise",Confiserie
Baton Delice fit czekoladowy ,Wyroby cukiernicze,Delice chocolate fit bar,Confectionery,Barre de coupe au chocolat Delice,Confiserie
Baton fitness delice z bia?a czekolad? ,Wyroby cukiernicze,White chocolate delice fitness bar,Confectionery,Barre de fitness delice au chocolat blanc,Confiserie
Baton fitness z brzoskwiniami i morelami ,Wyroby cukiernicze,Fitness bar with peaches and apricots,Confectionery,Barre de fitness avec des pêches et des abricots,Confiserie
Baton fitness z ?urawin? i truskawkami ,Wyroby cukiernicze,Fitness bar with cranberry and strawberries,Confectionery,Barre de fitness à la canneberge et aux fraises,Confiserie
Baton flap jack pistacja+kokos ,Wyroby cukiernicze,Baton flap jack pistachio + coconut,Confectionery,Baton flap jack pistache + noix de coco,Confiserie
Baton frupp ananas z bakaliami ,Owoce suszone i orzechy,Baton frupp pineapple with nuts and raisins,Dried fruits and nuts,Baton frupp ananas aux noix et raisins secs,Fruits secs et noix
Baton go on kakaowy! ,Wyroby cukiernicze,A cocoa bar!,Confectionery,Une barre de cacao!,Confiserie
Baton Go on orzech-karmel ,Wyroby cukiernicze,Go on caramel nut,Confectionery,Allez au caramel,Confiserie
Baton go on orzechowy! ,Wyroby cukiernicze,Baton him on nut!,Confectionery,Baton lui sur la noix!,Confiserie
Baton go on waniliowy! ,Wyroby cukiernicze,Baton it vanilla!,Confectionery,Baton c&#39;est vanille!,Confiserie
Baton go on ?urawinowy! ,Wyroby cukiernicze,Cranberry go on!,Confectionery,Canneberge continue!,Confiserie
Baton jab?ka-banany-maliny bio ,Wyroby cukiernicze,Organic apple-bananas-raspberries,Confectionery,Pommes-bananes-framboises biologiques,Confiserie
Baton Je?yki classic ,Wyroby cukiernicze,Classic hedgehog bar,Confectionery,Barre de hérisson classique,Confiserie
Baton Kit Kat Chunky White ,Wyroby cukiernicze,Baton Kit Kat Chunky White,Confectionery,Baton Kit Kat Chunky Blanc,Confiserie
Baton knoppers z mlecznym nadzieniem ,Wyroby cukiernicze,A bar of knoppers with a milk filling,Confectionery,Une barre de knoppers avec un lait de remplissage,Confiserie
Baton kokosowy o smaku mi?ty w polewie czekoladowej ,Wyroby cukiernicze,Mint chocolate-coated coconut bar,Confectionery,Barre au coco au chocolat,Confiserie
Baton kokosowy w polewie z mlecznej czekolady ,Wyroby cukiernicze,Coconut bar coated in milk chocolate,Confectionery,Barre à la noix de coco enrobée de chocolat au lait,Confiserie
Baton Krówkowy Mleczny ,Wyroby cukiernicze,Milk Fudge Bar,Confectionery,Barre au fudge au lait,Confiserie
Baton Lindt ,Czekolada,Lindt bar,Chocolate,Bar Lindt,chocolat
Baton Lion ,Wyroby cukiernicze,Lion Baton,Confectionery,Lion Baton,Confiserie
Baton Lion 2 pack ,Wyroby cukiernicze,Lion Baton 2 pack,Confectionery,Lion Baton 2 pack,Confiserie
Baton Lion bia?y,Wyroby cukiernicze,White Lion baton,Confectionery,Baton de lion blanc,Confiserie
Baton lion black white ,Wyroby cukiernicze,Baton lion. Black and white,Confectionery,Bâton lion noir blanc,Confiserie
Baton Lion peanut,Wyroby cukiernicze,Lion peanut bar,Confectionery,Barre d&#39;arachide de lion,Confiserie
Baton low carb mango ,Wyroby cukiernicze,Low carb mango bar,Confectionery,Barre de mangue à faible teneur en glucides,Confiserie
Baton low carb nugat ,Wyroby cukiernicze,Low carb bar nougat,Confectionery,Bâton de nougat à faible teneur en glucides,Confiserie
Baton low carb pistacja. ,Wyroby cukiernicze,Low carb pistachio baton.,Confectionery,Bâton pistache faible en glucides.,Confiserie
Baton marcepanowy kokosowy belcoco ,Wyroby cukiernicze,Marzipan coconut belcoco bar,Confectionery,Bar belcoco au massepain et à la noix de coco,Confiserie
Baton mars ,Wyroby cukiernicze,Mars bar,Confectionery,Barre de mars,Confiserie
Baton mars 2pack 2*35g ,Wyroby cukiernicze,Mars bar 2pack 2 * 35g,Confectionery,Barre de Mars 2Pack 2 * 35g,Confiserie
Baton milka & oreo ,Wyroby cukiernicze,Milk bar &amp; oreo,Confectionery,Barre de lait &amp; oreo,Confiserie
Baton milkizz. ,Wyroby cukiernicze,Milkizz bar.,Confectionery,Bar Milkizz.,Confiserie
Baton Milky Way Crispy Rolls Ameo ,Wyroby cukiernicze,Milky Way Crispy Rolls Ameo bar,Confectionery,Barre Ameo de Rolls Crispy de la voie lactée,Confiserie
Baton milky way midnight dark ,Wyroby cukiernicze,Baton milky way midnight dark,Confectionery,Bâton voie lactée minuit sombre,Confiserie
Baton Milky Way simple carmel ,Wyroby cukiernicze,Milky Way simple caramel bar,Confectionery,Barre simple au caramel Voie lactée,Confiserie
Baton orzech laskowy i kokos ,Wyroby cukiernicze,Hazelnut and coconut bar,Confectionery,Barre aux noisettes et noix de coco,Confiserie
Baton orzech z migda?em i miodem ,Wyroby cukiernicze,Walnut bar with almond and honey,Confectionery,Barre aux noix aux amandes et au miel,Confiserie
Baton orzech z pistacj? i gorzk? czekolad? ,Wyroby cukiernicze,Walnut bar with pistachio and dark chocolate,Confectionery,Barre de Noix à la pistache et au chocolat noir,Confiserie
"Baton orzechowy z nerkowcem, chili i gorzk? czekolad? ",Wyroby cukiernicze,"Nut bar with cashew, chili and dark chocolate",Confectionery,"Barre aux noix avec noix de cajou, piment rouge et chocolat noir",Confiserie
Baton Pawe?ek advocat,Wyroby cukiernicze,Pawe?ek advocat bar,Confectionery,Pawe?ek advocat bar,Confiserie
Baton Pawe?ek ?mietankowy,Wyroby cukiernicze,Pawe?ek cream bar,Confectionery,Crème Pawe?ek,Confiserie
Baton Pawe?ek toffi,Wyroby cukiernicze,Pawe?ek toffee bar,Confectionery,Bar à caramel Pawe?ek,Confiserie
Baton proteinowy deluxe czekoladowe ciasteczko ,Wyroby cukiernicze,Protein bar deluxe chocolate cookie,Confectionery,Biscuit au chocolat de luxe de barre de protéine,Confiserie
Baton proteinowy excelent czarna porzeczka z ?urawin? ,Wyroby cukiernicze,Protein bar excelent black currant with cranberry,Confectionery,Barre protéinée excellente cassis à la canneberge,Confiserie
Baton proteinowy excelent czekolada + kokos ,Wyroby cukiernicze,Protein bar excelent chocolate + coconut,Confectionery,Barre protéinée chocolat excellent + noix de coco,Confiserie
Baton Reese's sticks ,Wyroby cukiernicze,Baton Reese&#39;s sticks,Confectionery,Bâtons de baton reese,Confiserie
Baton Rice-Quinoa Bar oblany mleczn? czekolad? ,Wyroby cukiernicze,Rice-Quinoa Bar covered with milk chocolate,Confectionery,Rice-Quinoa Bar recouvert de chocolat au lait,Confiserie
Baton snickers ,Wyroby cukiernicze,Snickers bar,Confectionery,Snickers bar,Confiserie
Baton snickers almond ,Wyroby cukiernicze,Baton Snickers Almond,Confectionery,Bâton Snickers Amande,Confiserie
Baton Snickers crisper ,Wyroby cukiernicze,Snickers crisper bar,Confectionery,Snickers Crisper Bar,Confiserie
Baton snickers trio ,Wyroby cukiernicze,Baton snickers trio,Confectionery,Baton Snickers Trio,Confiserie
Baton Snickers z mas?em orzechowym ,Wyroby cukiernicze,Snickers peanut butter bar,Confectionery,Beurre de cacahuète Snickers,Confiserie
Baton Snickers z mas?em orzechowym ,Wyroby cukiernicze,Snickers peanut butter bar,Confectionery,Beurre de cacahuète Snickers,Confiserie
Baton Twix ,Wyroby cukiernicze,Twix bar,Confectionery,Barre Twix,Confiserie
Baton Twix Xtra ,Wyroby cukiernicze,Twix Xtra bar,Confectionery,Barre Twix Xtra,Confiserie
Baton z mlecznej czekolady Hershey's ,Czekolada,Hershey&#39;s milk chocolate bar,Chocolate,Barre de chocolat au lait de Hershey,chocolat
Baton zbo?owy banan Ba! Bakalland ,Wyroby cukiernicze,Banana cereal bar Ba! Bakalland,Confectionery,Barre de céréales à la banane Ba! Bakalland,Confiserie
"Batonik ""per?a"" twarogowy w polewie kakaowej truskawkowy. ",Sery i twarogi,&quot;Pearl&quot; curd bar with strawberry cocoa coating.,Cheese and curd,Barre caillée &quot;Pearl&quot; enrobée de cacao et de fraise.,Fromage et caillé
Batonik Duplo ,Wyroby cukiernicze,Duplo bar,Confectionery,Duplo bar,Confiserie
Batonik I love you ,Wyroby cukiernicze,Candy bar I love you,Confectionery,Candy bar je t&#39;aime,Confiserie
